Function,DLL,Occurence,Family,Associated
EnableMenuItem,USER32,7,"{""rozena"": 7}",
CreatePopupMenu,USER32,3,"{""rozena"": 3}",
EnableWindow,USER32,3,"{""rozena"": 3}",
IsDlgButtonChecked,USER32,3,"{""rozena"": 3}",
CheckDlgButton,USER32,3,"{""rozena"": 3}",
GetWindowPlacement,USER32,3,"{""rozena"": 3}",
LoadIconW,USER32,3,"{""rozena"": 3}",
SetWindowPlacement,USER32,3,"{""rozena"": 3}",
DefMDIChildProcW,USER32,3,"{""rozena"": 3}",
DefFrameProcW,USER32,3,"{""rozena"": 3}",
DefDlgProcW,USER32,3,"{""rozena"": 3}",
CreateIconIndirect,USER32,3,"{""rozena"": 3}",
FrameRect,USER32,3,"{""rozena"": 3}",
IsWindowVisible,USER32,3,"{""rozena"": 3}",
DestroyWindow,USER32,7,"{""rozena"": 7}",
GetClassNameW,USER32,3,"{""rozena"": 3}",
EnumChildWindows,USER32,3,"{""rozena"": 3}",
PtInRect,USER32,3,"{""rozena"": 3}",
UnionRect,USER32,3,"{""rozena"": 3}",
CopyRect,USER32,3,"{""rozena"": 3}",
ScreenToClient,USER32,7,"{""rozena"": 7}",
EmptyClipboard,USER32,7,"{""rozena"": 7}",
SetClipboardData,USER32,7,"{""rozena"": 7}",Helper
CloseClipboard,USER32,7,"{""rozena"": 7}",
OpenClipboard,USER32,7,"{""rozena"": 7}",Helper
IsZoomed,USER32,7,"{""rozena"": 7}",
DeferWindowPos,USER32,3,"{""rozena"": 3}",
BeginDeferWindowPos,USER32,3,"{""rozena"": 3}",
DrawFrameControl,USER32,3,"{""rozena"": 3}",
ChildWindowFromPoint,USER32,7,"{""rozena"": 7}",
SetDlgItemTextW,USER32,3,"{""rozena"": 3}",
DialogBoxParamW,USER32,3,"{""rozena"": 3}",
SetWindowTextW,USER32,3,"{""rozena"": 3}",
GetDlgItem,USER32,7,"{""rozena"": 7}",
GetScrollInfo,USER32,3,"{""rozena"": 3}",
SetScrollInfo,USER32,3,"{""rozena"": 3}",
GetParent,USER32,7,"{""rozena"": 7}",
GetClassLongW,USER32,3,"{""rozena"": 3}",
SetWindowLongW,USER32,3,"{""rozena"": 3}",
GetWindowLongW,USER32,3,"{""rozena"": 3}",
OffsetRect,USER32,3,"{""rozena"": 3}",
IntersectRect,USER32,3,"{""rozena"": 3}",
InflateRect,USER32,7,"{""rozena"": 7}",
FillRect,USER32,7,"{""rozena"": 7}",
GetSysColorBrush,USER32,7,"{""rozena"": 7}",
GetSysColor,USER32,7,"{""rozena"": 7}",
MapWindowPoints,USER32,3,"{""rozena"": 3}",
GetCursorPos,USER32,7,"{""rozena"": 7}",
GetWindowRect,USER32,7,"{""rozena"": 7}",
GetPropW,USER32,3,"{""rozena"": 3}",
SetPropW,USER32,3,"{""rozena"": 3}",
ScrollWindowEx,USER32,3,"{""rozena"": 3}",
ValidateRect,USER32,3,"{""rozena"": 3}",
GetUpdateRgn,USER32,3,"{""rozena"": 3}",
GetUpdateRect,USER32,3,"{""rozena"": 3}",
EndPaint,USER32,3,"{""rozena"": 3}",
BeginPaint,USER32,3,"{""rozena"": 3}",
UpdateWindow,USER32,7,"{""rozena"": 7}",
SetTimer,USER32,7,"{""rozena"": 7}",Evasion
ReleaseCapture,USER32,7,"{""rozena"": 7}",
SetCapture,USER32,7,"{""rozena"": 7}",
GetCapture,USER32,3,"{""rozena"": 3}",
GetKeyState,USER32,3,"{""rozena"": 3}",Spying
GetFocus,USER32,7,"{""rozena"": 7}",
SetWindowPos,USER32,7,"{""rozena"": 7}",
RegisterClassExW,USER32,3,"{""rozena"": 3}",
CallWindowProcW,USER32,3,"{""rozena"": 3}",
DefWindowProcW,USER32,3,"{""rozena"": 3}",
PostMessageW,USER32,3,"{""rozena"": 3}",
LoadStringW,USER32,3,"{""rozena"": 3}",
EnumDisplaySettingsW,USER32,3,"{""rozena"": 3}",
LoadImageW,USER32,3,"{""rozena"": 3}",
LoadCursorW,USER32,3,"{""rozena"": 3}",
GetWindowThreadProcessId,USER32,3,"{""rozena"": 3}",
FindWindowExW,USER32,3,"{""rozena"": 3}",
FindWindowW,USER32,3,"{""rozena"": 3}",
WaitForInputIdle,USER32,3,"{""rozena"": 3}",
ShowWindow,USER32,7,"{""rozena"": 7}",Helper
SetFocus,USER32,7,"{""rozena"": 7}",Helper
GetSystemMetrics,USER32,7,"{""rozena"": 7}",
GetMenu,USER32,7,"{""rozena"": 7}",
CheckMenuItem,USER32,7,"{""rozena"": 7}",
GetSubMenu,USER32,7,"{""rozena"": 7}",
InsertMenuW,USER32,3,"{""rozena"": 3}",
SetCursor,USER32,7,"{""rozena"": 7}",
SetForegroundWindow,USER32,3,"{""rozena"": 3}",Helper
DeleteMenu,USER32,3,"{""rozena"": 3}",
EndDeferWindowPos,USER32,3,"{""rozena"": 3}",
GetBkColor,GDI32,7,"{""rozena"": 7}",
CreateRectRgnIndirect,GDI32,3,"{""rozena"": 3}",
CreateSolidBrush,GDI32,7,"{""rozena"": 7}",
DeleteDC,GDI32,7,"{""rozena"": 7}",
GetBkMode,GDI32,3,"{""rozena"": 3}",
GetDeviceCaps,GDI32,7,"{""rozena"": 7}",
GetStockObject,GDI32,7,"{""rozena"": 7}",
RectInRegion,GDI32,3,"{""rozena"": 3}",
StartDocW,GDI32,3,"{""rozena"": 3}",
CreateRectRgn,GDI32,3,"{""rozena"": 3}",
CreatePen,GDI32,3,"{""rozena"": 3}",
CreateCompatibleDC,GDI32,7,"{""rozena"": 7}",
CreateCompatibleBitmap,GDI32,3,"{""rozena"": 3}",
BitBlt,GDI32,3,"{""rozena"": 3}",Spying
GetObjectW,GDI32,3,"{""rozena"": 3}",
CreateDIBSection,GDI32,3,"{""rozena"": 3}",
SetMapMode,GDI32,7,"{""rozena"": 7}",
Polyline,GDI32,3,"{""rozena"": 3}",
GetTextMetricsW,GDI32,3,"{""rozena"": 3}",
SetTextColor,GDI32,7,"{""rozena"": 7}",
SetBkMode,GDI32,7,"{""rozena"": 7}",
SetBkColor,GDI32,7,"{""rozena"": 7}",
SelectClipRgn,GDI32,3,"{""rozena"": 3}",
CreateBitmap,GDI32,3,"{""rozena"": 3}",
MoveToEx,GDI32,3,"{""rozena"": 3}",
SetROP2,GDI32,3,"{""rozena"": 3}",
SaveDC,GDI32,3,"{""rozena"": 3}",
RestoreDC,GDI32,3,"{""rozena"": 3}",
Rectangle,GDI32,3,"{""rozena"": 3}",
LineTo,GDI32,3,"{""rozena"": 3}",
ExtTextOutW,GDI32,3,"{""rozena"": 3}",
SetTextAlign,GDI32,3,"{""rozena"": 3}",
GetTextExtentPoint32W,GDI32,3,"{""rozena"": 3}",
EndPage,GDI32,7,"{""rozena"": 7}",
StartPage,GDI32,7,"{""rozena"": 7}",
EndDoc,GDI32,7,"{""rozena"": 7}",
FindTextW,COMDLG32,3,"{""rozena"": 3}",
ChooseColorW,COMDLG32,3,"{""rozena"": 3}",
GetSaveFileNameW,COMDLG32,3,"{""rozena"": 3}",
GetOpenFileNameW,COMDLG32,3,"{""rozena"": 3}",
PrintDlgW,COMDLG32,3,"{""rozena"": 3}",
CommDlgExtendedError,COMDLG32,3,"{""rozena"": 3}",
ChooseFontW,COMDLG32,3,"{""rozena"": 3}",
RegOpenKeyExA,ADVAPI32,7,"{""rozena"": 7}",Helper
RegQueryValueExA,ADVAPI32,7,"{""rozena"": 7}",Enumeration
EnumServicesStatusExW,ADVAPI32,3,"{""rozena"": 3}",
LookupPrivilegeNameW,ADVAPI32,3,"{""rozena"": 3}",
AdjustTokenPrivileges,ADVAPI32,7,"{""rozena"": 7}",Injection
SetKernelObjectSecurity,ADVAPI32,3,"{""rozena"": 3}",
GetKernelObjectSecurity,ADVAPI32,3,"{""rozena"": 3}",
EqualSid,ADVAPI32,7,"{""rozena"": 7}",
AllocateAndInitializeSid,ADVAPI32,8,"{""rozena"": 8}",
FreeSid,ADVAPI32,8,"{""rozena"": 8}",
LookupAccountSidW,ADVAPI32,3,"{""rozena"": 3}",
LookupAccountNameW,ADVAPI32,3,"{""rozena"": 3}",
LookupPrivilegeValueW,ADVAPI32,3,"{""rozena"": 3}",
CreateProcessAsUserW,ADVAPI32,3,"{""rozena"": 3}",
RegConnectRegistryW,ADVAPI32,3,"{""rozena"": 3}",
FlushTraceW,ADVAPI32,3,"{""rozena"": 3}",
LsaEnumerateAccountRights,ADVAPI32,3,"{""rozena"": 3}",
LsaOpenPolicy,ADVAPI32,3,"{""rozena"": 3}",
LsaClose,ADVAPI32,3,"{""rozena"": 3}",
LsaFreeMemory,ADVAPI32,3,"{""rozena"": 3}",
GetSecurityInfo,ADVAPI32,3,"{""rozena"": 3}",
CreateRestrictedToken,ADVAPI32,3,"{""rozena"": 3}",
AddAccessAllowedAce,ADVAPI32,3,"{""rozena"": 3}",
GetAce,ADVAPI32,3,"{""rozena"": 3}",
AddAce,ADVAPI32,3,"{""rozena"": 3}",
InitializeAcl,ADVAPI32,3,"{""rozena"": 3}",
ImpersonateLoggedOnUser,ADVAPI32,3,"{""rozena"": 3}",Helper
DuplicateTokenEx,ADVAPI32,3,"{""rozena"": 3}",
RegCreateKeyExW,ADVAPI32,3,"{""rozena"": 3}",
RegDeleteKeyW,ADVAPI32,3,"{""rozena"": 3}",
RegEnumKeyW,ADVAPI32,3,"{""rozena"": 3}",
RegEnumValueW,ADVAPI32,3,"{""rozena"": 3}",
GetSidSubAuthorityCount,ADVAPI32,3,"{""rozena"": 3}",
GetSidSubAuthority,ADVAPI32,3,"{""rozena"": 3}",
GetSidIdentifierAuthority,ADVAPI32,3,"{""rozena"": 3}",
IsValidSid,ADVAPI32,3,"{""rozena"": 3}",
SetTokenInformation,ADVAPI32,3,"{""rozena"": 3}",
QueryServiceConfigW,ADVAPI32,3,"{""rozena"": 3}",
CopySid,ADVAPI32,3,"{""rozena"": 3}",
GetLengthSid,ADVAPI32,3,"{""rozena"": 3}",
CloseTrace,ADVAPI32,3,"{""rozena"": 3}",
ProcessTrace,ADVAPI32,3,"{""rozena"": 3}",
OpenTraceW,ADVAPI32,3,"{""rozena"": 3}",
ControlTraceW,ADVAPI32,3,"{""rozena"": 3}",
SetSecurityInfo,ADVAPI32,3,"{""rozena"": 3}",
RevertToSelf,ADVAPI32,3,"{""rozena"": 3}",
RegLoadKeyW,ADVAPI32,3,"{""rozena"": 3}",
StartTraceW,ADVAPI32,3,"{""rozena"": 3}",
SetServiceObjectSecurity,ADVAPI32,3,"{""rozena"": 3}",
QueryServiceObjectSecurity,ADVAPI32,3,"{""rozena"": 3}",
MapGenericMask,ADVAPI32,3,"{""rozena"": 3}",
RegOpenKeyW,ADVAPI32,3,"{""rozena"": 3}",
RegOpenKeyExW,ADVAPI32,3,"{""rozena"": 3}",
RegQueryInfoKeyW,ADVAPI32,3,"{""rozena"": 3}",
RegQueryValueExW,ADVAPI32,3,"{""rozena"": 3}",
RegSetValueExW,ADVAPI32,3,"{""rozena"": 3}",
RegUnLoadKeyW,ADVAPI32,3,"{""rozena"": 3}",
RegQueryValueW,ADVAPI32,3,"{""rozena"": 3}",
CryptAcquireContextW,ADVAPI32,3,"{""rozena"": 3}",
CryptReleaseContext,ADVAPI32,3,"{""rozena"": 3}",Ransomware
CryptGetHashParam,ADVAPI32,3,"{""rozena"": 3}",Ransomware
CryptCreateHash,ADVAPI32,3,"{""rozena"": 3}",Ransomware
CryptHashData,ADVAPI32,3,"{""rozena"": 3}",Ransomware
RegCloseKey,ADVAPI32,7,"{""rozena"": 7}",Helper
CryptDestroyHash,ADVAPI32,3,"{""rozena"": 3}",Ransomware
RegDeleteValueW,ADVAPI32,3,"{""rozena"": 3}",
CloseServiceHandle,ADVAPI32,3,"{""rozena"": 3}",
GetServiceDisplayNameW,ADVAPI32,3,"{""rozena"": 3}",
OpenSCManagerW,ADVAPI32,3,"{""rozena"": 3}",
OpenServiceW,ADVAPI32,3,"{""rozena"": 3}",
QueryServiceConfig2W,ADVAPI32,3,"{""rozena"": 3}",
ControlService,ADVAPI32,3,"{""rozena"": 3}",Helper
QueryServiceStatus,ADVAPI32,3,"{""rozena"": 3}",
StartServiceW,ADVAPI32,3,"{""rozena"": 3}",
RegCreateKeyW,ADVAPI32,3,"{""rozena"": 3}",
SHGetMalloc,SHELL32,3,"{""rozena"": 3}",
SHGetPathFromIDListW,SHELL32,3,"{""rozena"": 3}",
SHGetSpecialFolderLocation,SHELL32,3,"{""rozena"": 3}",
SHBrowseForFolderW,SHELL32,3,"{""rozena"": 3}",
Shell_NotifyIconW,SHELL32,3,"{""rozena"": 3}",
ShellExecuteExW,SHELL32,3,"{""rozena"": 3}",
SHGetFolderPathW,SHELL32,3,"{""rozena"": 3}",
SHGetFileInfoW,SHELL32,3,"{""rozena"": 3}",
CoInitializeEx,OLE32,3,"{""rozena"": 3}",
CoCreateInstance,OLE32,7,"{""rozena"": 7}",
CoUninitialize,OLE32,3,"{""rozena"": 3}",
CoTaskMemFree,OLE32,3,"{""rozena"": 3}",
CoMarshalInterThreadInterfaceInStream,OLE32,3,"{""rozena"": 3}",
CoGetInterfaceAndReleaseStream,OLE32,3,"{""rozena"": 3}",
CoInitialize,OLE32,7,"{""rozena"": 7}",
CoSetProxyBlanket,OLE32,7,"{""rozena"": 7}",
Ordinal_10,OLEAUT32,3,"{""rozena"": 3}",
Ordinal_4,OLEAUT32,11,"{""rozena"": 11}",
Ordinal_25,OLEAUT32,4,"{""rozena"": 4}",
Ordinal_24,OLEAUT32,4,"{""rozena"": 4}",
Ordinal_23,OLEAUT32,8,"{""rozena"": 8}",
Ordinal_20,OLEAUT32,4,"{""rozena"": 4}",
Ordinal_2,OLEAUT32,7,"{""rozena"": 7}",
Ordinal_6,OLEAUT32,11,"{""rozena"": 11}",
Ordinal_7,OLEAUT32,6,"{""rozena"": 6}",
Ordinal_150,OLEAUT32,7,"{""rozena"": 7}",
Ordinal_12,OLEAUT32,8,"{""rozena"": 8}",
Ordinal_16,OLEAUT32,8,"{""rozena"": 8}",
Ordinal_19,OLEAUT32,8,"{""rozena"": 8}",
WinHttpReadData,WINHTTP,3,"{""rozena"": 3}",
WinHttpGetProxyForUrl,WINHTTP,3,"{""rozena"": 3}",
WinHttpQueryHeaders,WINHTTP,3,"{""rozena"": 3}",
WinHttpReceiveResponse,WINHTTP,3,"{""rozena"": 3}",
WinHttpSendRequest,WINHTTP,3,"{""rozena"": 3}",
WinHttpOpenRequest,WINHTTP,3,"{""rozena"": 3}",
WinHttpOpen,WINHTTP,3,"{""rozena"": 3}",
WinHttpCloseHandle,WINHTTP,3,"{""rozena"": 3}",
WinHttpConnect,WINHTTP,3,"{""rozena"": 3}",
WinHttpWriteData,WINHTTP,3,"{""rozena"": 3}",
WinHttpQueryDataAvailable,WINHTTP,3,"{""rozena"": 3}",
WinHttpSetOption,WINHTTP,3,"{""rozena"": 3}",
GetMappedFileNameW,PSAPI,3,"{""rozena"": 3}",
QueryWorkingSet,PSAPI,3,"{""rozena"": 3}",
GetModuleFileNameExW,PSAPI,3,"{""rozena"": 3}",
BCryptGenRandom,BCRYPT,4,"{""shelma"": 4}",
RtlDestroyProcessParameters,NTDLL,4,"{""shelma"": 4}",
RtlCreateProcessParametersEx,NTDLL,4,"{""shelma"": 4}",
NtClose,NTDLL,4,"{""shelma"": 4}",Helper
NtCreateThreadEx,NTDLL,4,"{""shelma"": 4}",Injection
NtCreateSection,NTDLL,4,"{""shelma"": 4}",Injection
NtCreateProcessEx,NTDLL,4,"{""shelma"": 4}",Injection
WriteProcessMemory,KERNEL32,4,"{""shelma"": 4}",Injection
FlushViewOfFile,KERNEL32,4,"{""shelma"": 4}",
VirtualAllocEx,KERNEL32,4,"{""shelma"": 4}",Injection
acos,MSVCRT,1,"{""rozena"": 1}",
CreateEventA,KERNEL32,8,"{""rozena"": 7, ""shelm"": 1}",
SleepEx,KERNEL32,3,"{""rozena"": 3}",Anti-Debugging
GetFileVersionInfoA,VERSION,4,"{""rozena"": 4}",
GetFileVersionInfoSizeA,VERSION,4,"{""rozena"": 4}",
VerQueryValueA,VERSION,4,"{""rozena"": 4}",
Ordinal_52,WS2_32,4,"{""rozena"": 4}",
Ordinal_111,WS2_32,4,"{""rozena"": 4}",
Ordinal_3,WS2_32,4,"{""rozena"": 4}",
Ordinal_57,WS2_32,4,"{""rozena"": 4}",
SetTcpEntry,IPHLPAPI,4,"{""rozena"": 4}",
GetTcpTable,IPHLPAPI,4,"{""rozena"": 4}",
GetUdpTable,IPHLPAPI,4,"{""rozena"": 4}",
CreateToolbarEx,COMCTL32,4,"{""rozena"": 4}",
GetModuleFileNameExA,PSAPI,4,"{""rozena"": 4}",Helper
GetModuleFileNameA,KERNEL32,5,"{""rozena"": 5}",Helper
GetNumberFormatA,KERNEL32,4,"{""rozena"": 4}",
GetLocaleInfoA,KERNEL32,4,"{""rozena"": 4}",
GetUserDefaultLangID,KERNEL32,4,"{""rozena"": 4}",
GetEnvironmentStrings,KERNEL32,4,"{""rozena"": 4}",
FreeEnvironmentStringsA,KERNEL32,4,"{""rozena"": 4}",
SetHandleCount,KERNEL32,4,"{""rozena"": 4}",
HeapCreate,KERNEL32,4,"{""rozena"": 4}",Injection
FatalAppExitA,KERNEL32,4,"{""rozena"": 4}",
LCMapStringA,KERNEL32,4,"{""rozena"": 4}",
GetVersionExA,KERNEL32,5,"{""rozena"": 5}",Enumeration
GetStringTypeA,KERNEL32,4,"{""rozena"": 4}",
GetTimeFormatA,KERNEL32,4,"{""rozena"": 4}",
GetDateFormatA,KERNEL32,4,"{""rozena"": 4}",
EnumSystemLocalesA,KERNEL32,4,"{""rozena"": 4}",Ransomware
InterlockedExchange,KERNEL32,4,"{""rozena"": 4}",
WriteConsoleA,KERNEL32,4,"{""rozena"": 4}",
CompareStringA,KERNEL32,4,"{""rozena"": 4}",
GetMessageA,USER32,4,"{""rozena"": 4}",Spying
TranslateAcceleratorA,USER32,4,"{""rozena"": 4}",
DispatchMessageA,USER32,4,"{""rozena"": 4}",
RegisterClassA,USER32,4,"{""rozena"": 4}",
LoadMenuA,USER32,4,"{""rozena"": 4}",
InsertMenuA,USER32,4,"{""rozena"": 4}",
SetMenuItemInfoA,USER32,4,"{""rozena"": 4}",
LoadStringA,USER32,4,"{""rozena"": 4}",
DialogBoxParamA,USER32,4,"{""rozena"": 4}",
SetDlgItemTextA,USER32,4,"{""rozena"": 4}",
SetWindowLongA,USER32,4,"{""rozena"": 4}",Helper
GetWindowLongA,USER32,4,"{""rozena"": 4}",
CreateWindowExA,USER32,4,"{""rozena"": 4}",Evasion
CallWindowProcA,USER32,4,"{""rozena"": 4}",Helper
LoadAcceleratorsA,USER32,4,"{""rozena"": 4}",
LoadIconA,USER32,4,"{""rozena"": 4}",
DrawTextA,USER32,4,"{""rozena"": 4}",
PostMessageA,USER32,4,"{""rozena"": 4}",Spying
DefWindowProcA,USER32,4,"{""rozena"": 4}",
DialogBoxIndirectParamA,USER32,4,"{""rozena"": 4}",
SetWindowTextA,USER32,4,"{""rozena"": 4}",
LoadCursorA,USER32,4,"{""rozena"": 4}",
SendMessageA,USER32,4,"{""rozena"": 4}",Spying
GetTextMetricsA,GDI32,4,"{""rozena"": 4}",
StartDocA,GDI32,4,"{""rozena"": 4}",
CreateFontIndirectA,GDI32,4,"{""rozena"": 4}",
GetObjectA,GDI32,4,"{""rozena"": 4}",
ChooseFontA,COMDLG32,4,"{""rozena"": 4}",
GetSaveFileNameA,COMDLG32,4,"{""rozena"": 4}",
PrintDlgA,COMDLG32,4,"{""rozena"": 4}",
LookupPrivilegeValueA,ADVAPI32,4,"{""rozena"": 4}",Enumeration
ConvertSidToStringSidA,ADVAPI32,4,"{""rozena"": 4}",
FlushTraceA,ADVAPI32,4,"{""rozena"": 4}",
RegCreateKeyA,ADVAPI32,4,"{""rozena"": 4}",Helper
RegSetValueExA,ADVAPI32,4,"{""rozena"": 4}",Helper
RegOpenKeyA,ADVAPI32,4,"{""rozena"": 4}",Helper
ShellExecuteExA,SHELL32,4,"{""rozena"": 4}",Internet
ShellExecuteA,SHELL32,4,"{""rozena"": 4}",Internet
SHGetFileInfoA,SHELL32,4,"{""rozena"": 4}",
CommandLineToArgvW,SHELL32,4,"{""rozena"": 4}",
Ordinal_202,OLEAUT32,4,"{""rozena"": 4}",
Ordinal_149,OLEAUT32,4,"{""rozena"": 4}",
Ordinal_200,OLEAUT32,4,"{""rozena"": 4}",
Ordinal_201,OLEAUT32,4,"{""rozena"": 4}",
_XcptFilter,MSVCRT,1,"{""rozena"": 1}",
_exit,MSVCRT,1,"{""rozena"": 1}",
strrchr,MSVCRT,1,"{""rozena"": 1}",
wcsncmp,MSVCRT,1,"{""rozena"": 1}",
_close,MSVCRT,1,"{""rozena"": 1}",
wcscpy,MSVCRT,1,"{""rozena"": 1}",
modf,MSVCRT,1,"{""rozena"": 1}",
strspn,MSVCRT,1,"{""rozena"": 1}",
realloc,MSVCRT,1,"{""rozena"": 1}",
strstr,MSVCRT,1,"{""rozena"": 1}",
strncpy,MSVCRT,1,"{""rozena"": 1}",
qsort,MSVCRT,1,"{""rozena"": 1}",
fopen,MSVCRT,1,"{""rozena"": 1}",
perror,MSVCRT,1,"{""rozena"": 1}",
fclose,MSVCRT,1,"{""rozena"": 1}",
fflush,MSVCRT,1,"{""rozena"": 1}",
printf,MSVCRT,1,"{""rozena"": 1}",
_isctype,MSVCRT,1,"{""rozena"": 1}",
_controlfp,MSVCRT,1,"{""rozena"": 1}",
_strdup,MSVCRT,1,"{""rozena"": 1}",
_strnicmp,MSVCRT,1,"{""rozena"": 1}",
ReleaseMutex,KERNEL32,2,"{""rozena"": 2}",
CreateMutexA,KERNEL32,2,"{""rozena"": 2}",Helper
SetHandleInformation,KERNEL32,1,"{""rozena"": 1}",
GetOverlappedResult,KERNEL32,1,"{""rozena"": 1}",
GetComputerNameA,KERNEL32,1,"{""rozena"": 1}",Anti-Debugging
CreateActCtxA,KERNEL32,1,"{""rozena"": 1}",
ActivateActCtx,KERNEL32,1,"{""rozena"": 1}",
DeactivateActCtx,KERNEL32,1,"{""rozena"": 1}",
ReleaseActCtx,KERNEL32,1,"{""rozena"": 1}",
CreateFileMappingA,KERNEL32,1,"{""rozena"": 1}",Evasion
InterlockedFlushSList,KERNEL32,1,"{""rozena"": 1}",
FindFirstFileExA,KERNEL32,1,"{""rozena"": 1}",
FindNextFileA,KERNEL32,1,"{""rozena"": 1}",Enumeration
atan,MSVCRT,1,"{""rozena"": 1}",
SwitchToThread,KERNEL32,1,"{""shelm"": 1}",
SetWaitableTimer,KERNEL32,1,"{""shelm"": 1}",Evasion
SetProcessPriorityBoost,KERNEL32,1,"{""shelm"": 1}",
PostQueuedCompletionStatus,KERNEL32,1,"{""shelm"": 1}",
SetThreadContext,KERNEL32,1,"{""shelm"": 1}",Injection
GetSystemInfo,KERNEL32,1,"{""shelm"": 1}",
GetSystemDirectoryA,KERNEL32,1,"{""shelm"": 1}",Enumeration
GetQueuedCompletionStatusEx,KERNEL32,1,"{""shelm"": 1}",
CreateWaitableTimerExW,KERNEL32,1,"{""shelm"": 1}",
CreateIoCompletionPort,KERNEL32,1,"{""shelm"": 1}",
AddVectoredExceptionHandler,KERNEL32,1,"{""shelm"": 1}",
__std_type_info_destroy_list,VCRUNTIME140,1,"{""cobaltstrike"": 1}",
_except_handler4_common,VCRUNTIME140,1,"{""cobaltstrike"": 1}",
_configure_narrow_argv,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,"{""cobaltstrike"": 1}",
_execute_onexit_table,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,"{""cobaltstrike"": 1}",
_initialize_narrow_environment,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,"{""cobaltstrike"": 1}",
_initialize_onexit_table,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,"{""cobaltstrike"": 1}",
_initterm_e,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,"{""cobaltstrike"": 1}",
_seh_filter_dll,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,"{""cobaltstrike"": 1}",
