Function,DLL,Occurence,Family,Associated
MulDiv,KERNEL32,8,"{""shelma"": 1, ""rozena"": 7}",
SetDllDirectoryW,KERNEL32,1,"{""shelma"": 1}",
ExpandEnvironmentStringsW,KERNEL32,8,"{""shelma"": 5, ""rozena"": 3}",
CreateDirectoryW,KERNEL32,1,"{""shelma"": 1}",
GetTempPathW,KERNEL32,1,"{""shelma"": 1}",
WaitForSingleObject,KERNEL32,21,"{""shelma"": 5, ""rozena"": 15, ""shelm"": 1}",Evasion
GetExitCodeProcess,KERNEL32,6,"{""shelma"": 5, ""rozena"": 1}",
CreateProcessW,KERNEL32,4,"{""shelma"": 1, ""rozena"": 3}",
LocalFree,KERNEL32,9,"{""shelma"": 1, ""rozena"": 8}",
FormatMessageW,KERNEL32,4,"{""shelma"": 1, ""rozena"": 3}",
GetTimeZoneInformation,KERNEL32,9,"{""shelma"": 1, ""rozena"": 8}",
GetEnvironmentVariableW,KERNEL32,4,"{""shelma"": 1, ""rozena"": 3}",
RtlCaptureContext,KERNEL32,5,"{""shelma"": 5}",
RtlLookupFunctionEntry,KERNEL32,5,"{""shelma"": 5}",
RtlVirtualUnwind,KERNEL32,5,"{""shelma"": 5}",
RtlUnwindEx,KERNEL32,5,"{""shelma"": 5}",
RtlPcToFileHeader,KERNEL32,5,"{""shelma"": 5}",
GetDriveTypeW,KERNEL32,4,"{""shelma"": 1, ""rozena"": 3}",
GetFileInformationByHandle,KERNEL32,2,"{""shelma"": 1, ""rozena"": 1}",
PeekNamedPipe,KERNEL32,2,"{""shelma"": 1, ""rozena"": 1}",Helper
SystemTimeToTzSpecificLocalTime,KERNEL32,2,"{""shelma"": 1, ""rozena"": 1}",
FileTimeToSystemTime,KERNEL32,5,"{""shelma"": 1, ""rozena"": 4}",
GetFullPathNameW,KERNEL32,4,"{""shelma"": 1, ""rozena"": 3}",
RemoveDirectoryW,KERNEL32,1,"{""shelma"": 1}",
SetConsoleCtrlHandler,KERNEL32,6,"{""shelma"": 1, ""rozena"": 4, ""shelm"": 1}",
FlsAlloc,KERNEL32,1,"{""shelma"": 1}",
FlsGetValue,KERNEL32,1,"{""shelma"": 1}",
FlsSetValue,KERNEL32,1,"{""shelma"": 1}",
FlsFree,KERNEL32,1,"{""shelma"": 1}",
OpenProcessToken,ADVAPI32,8,"{""shelma"": 1, ""rozena"": 7}",Injection
GetTokenInformation,ADVAPI32,8,"{""shelma"": 1, ""rozena"": 7}",
ConvertStringSecurityDescriptorToSecurityDescriptorW,ADVAPI32,1,"{""shelma"": 1}",
ConvertSidToStringSidW,ADVAPI32,4,"{""shelma"": 1, ""rozena"": 3}",
SelectObject,GDI32,8,"{""shelma"": 1, ""rozena"": 7}",
DeleteObject,GDI32,8,"{""shelma"": 1, ""rozena"": 7}",
CreateFontIndirectW,GDI32,4,"{""shelma"": 1, ""rozena"": 3}",
CreateThread,KERNEL32,15,"{""rozena"": 14, ""shelm"": 1}",Injection
GetModuleHandleA,KERNEL32,10,"{""rozena"": 10}",Evasion
GetStartupInfoA,KERNEL32,10,"{""rozena"": 10}",
InitializeCriticalSection,KERNEL32,14,"{""rozena"": 14}",
IsDBCSLeadByteEx,KERNEL32,2,"{""rozena"": 2}",
LoadLibraryA,KERNEL32,15,"{""rozena"": 14, ""shelm"": 1}",Evasion
OpenProcess,KERNEL32,10,"{""rozena"": 10}",Injection
VirtualFree,KERNEL32,11,"{""rozena"": 10, ""shelm"": 1}",
VirtualProtect,KERNEL32,6,"{""rozena"": 6}",Injection
VirtualQuery,KERNEL32,7,"{""rozena"": 6, ""shelm"": 1}",
__getmainargs,MSVCRT,7,"{""rozena"": 7}",
__p__acmdln,MSVCRT,6,"{""rozena"": 6}",
__p__commode,MSVCRT,6,"{""rozena"": 6}",
__p__fmode,MSVCRT,6,"{""rozena"": 6}",
__set_app_type,MSVCRT,7,"{""rozena"": 7}",
_amsg_exit,MSVCRT,6,"{""rozena"": 6}",
_cexit,MSVCRT,7,"{""rozena"": 6, ""cobaltstrike"": 1}",
_errno,MSVCRT,7,"{""rozena"": 7}",
_initterm,MSVCRT,7,"{""rozena"": 6, ""cobaltstrike"": 1}",
_lock,MSVCRT,2,"{""rozena"": 2}",
_onexit,MSVCRT,7,"{""rozena"": 7}",
_unlock,MSVCRT,2,"{""rozena"": 2}",
abort,MSVCRT,6,"{""rozena"": 6}",
asin,MSVCRT,1,"{""rozena"": 1}",
atoi,MSVCRT,3,"{""rozena"": 3}",
calloc,MSVCRT,7,"{""rozena"": 7}",
exit,MSVCRT,7,"{""rozena"": 7}",
fprintf,MSVCRT,7,"{""rozena"": 7}",
fputc,MSVCRT,2,"{""rozena"": 2}",
free,MSVCRT,7,"{""rozena"": 7}",
fwrite,MSVCRT,6,"{""rozena"": 6}",
localeconv,MSVCRT,2,"{""rozena"": 2}",
malloc,MSVCRT,7,"{""rozena"": 7}",
