Hash,First Time Submission,Last Analysis 1,Label Family 1,Last Analysis 2,Label Family 2,Type of C2
008659a4bb257a2553a42ce170617f26af97a86820c855787ea56e15925a7feb,2023-03-08,2023-03-17,cobaltstrike,2023-07-26,cobaltstrike,CobaltStrike
03825741c04fb75f7bcb5d53d54ccbd0a7c00ebf3f187084e49b0fb95e67b51e,2023-05-06,2023-07-13,cobaltstrike,2023-07-26,cobaltstrike,CobaltStrike
03a9d6afc99e70333723d921bd1265ac948cdabb8b15689b5ceb1c02365a9572,2023-01-20,2023-07-20,rozena,2023-07-26,rozena,CobaltStrike
04193e2b9a24c7c63914d71bbff1ca8612b089750a5645caa6c143fc0a1c376d,2023-03-07,2023-03-17,cobaltstrike,2023-07-26,cobaltstrike,CobaltStrike
0c011bc812555a6868ede5f189cb8c7a99c2c0beaa7548a39a5e0162ef7de251,2023-01-08,2023-03-09,SINGLETON:5652592338db9c578311bcd840b61a6f,2023-07-26,pyhacktool,CobaltStrike
0ffdeb5f315763a2edd720acafaa9022dba2955ec52f6ac569ce7f5feaed57a1,2023-02-16,2023-03-18,cobaltstrike,2023-07-26,cobaltstrike,CobaltStrike
1e2c1b1f570c12d6c3a10ec4cb7b6cd03dd329d45e861cce973790a7ed696b37,2023-04-30,2023-05-30,cobaltstrike,2023-07-26,cobaltstrike,CobaltStrike
21045c5b715a16f231ecbd8f66cb2fa5b85842cbac213ceabcb0e96231fa4e4b,2023-07-20,2023-07-21,SINGLETON:097992c0989c6481a5a24817f0e56898,2023-07-26,wingo,CobaltStrike
21bd99b20120df1efe5e1817403ee0173771643e2c4d91f5f2076787c3581627,2023-01-08,2023-01-18,cobaltstrike,2023-07-26,cobaltstrike,CobaltStrike
26735c534c886b82f7ec4de59c2b2f8150b7eb079c6714ad71299aaf176c8147,2023-02-02,2023-07-23,rozena,2023-07-26,rozena,CobaltStrike
289bd243d4459f9d35d96af24c9a3129b0771ac61e1201b1e6042430aa59146b,2023-05-18,2023-07-04,shlem,2023-07-26,shlem,CobaltStrike
30213cacc943b1923d8085f8a9c365a4d256be44eb7aed68665f555d70342c31,2023-07-10,2023-07-26,SINGLETON:34122f00b3e102174e775d47d71a6a5f,2023-07-26,SINGLETON:34122f00b3e102174e775d47d71a6a5f,CobaltStrike
322ea0b4fa978d8fbbfa4b3822191098e7bec953721e1cdab8a92901390ed2c0,2023-02-06,2023-05-14,cobaltstrike,2023-07-26,cobaltstrike,CobaltStrike
336a797cf6b66ac1e2e2cd7f9f0232e27ae18577e7e93398f464dafaf810d9b3,2023-02-06,2023-03-16,cobaltstrike,2023-07-26,cobaltstrike,CobaltStrike
35e5460c102ca2f996d61d70d6bb06fb87014f7d2beccf35f3812ea534acd9d5,2023-04-17,2023-07-03,rozena,2023-07-26,rozena,CobaltStrike
37e828da01820aad58414d0b73c935a0e408c274cdd872cbbae25f9cbcba0b08,2023-01-08,2023-02-09,cobaltstrike,2023-07-26,cobaltstrike,CobaltStrike
3a7f49bd8c56f3fe25d52f5d6b5b39821dc0d2a0a184c42ace7c3989eb6ec5d7,2023-04-25,2023-07-13,rozena,2023-07-26,rozena,CobaltStrike
3df5db8c2ff81ab8bcb7cad032948e7fde261022a859eac4241b72070ab320c9,2023-04-21,2023-04-23,cobaltstrike,2023-07-26,cobaltstrike,CobaltStrike
3f1b98bccdfaef50f63b9752a50859e13c84f92821e38b3403399a9b11cbeed2,2023-05-14,2023-07-13,rozena,2023-07-26,rozena,CobaltStrike
455381bfd322608f89657a5ce2d4875b3c1f7dacfecfea0dca33d7e82aa3c6bf,2023-03-28,2023-05-14,cobaltstrike,2023-07-26,cobaltstrike,CobaltStrike
485263958f6879d443576f50cf7e10e48e8c05b2826ee175d28244f1aba991a4,2023-04-09,2023-04-10,cobaltstrike,2023-07-26,cobaltstrike,CobaltStrike
4f8fd541ee79a926b02b1304e4489f6af339259ebc71608f4a0472f62b6087f1,2023-01-10,2023-01-20,cobaltstrike,2023-07-26,cobaltstrike,CobaltStrike
50987b54356dbfe6348f7883e90b311b66405c692b68d247770136f9846397d4,2023-04-13,2023-07-25,cobaltstrike,2023-07-26,cobaltstrike,CobaltStrike
55507747ebd160778529344299cbce5ff239de57d0a3e7d2148763797d993db2,2023-02-03,2023-05-01,rozena,2023-07-26,rozena,CobaltStrike
55ccd52ba0b2a2c593c5043c9650d1d350d08cdea16fa719122f8238c67f8661,2023-07-10,2023-07-11,cobaltstrike,2023-07-26,cobaltstrike,CobaltStrike
5630076d51f7ba1412cd3873654f47fe86fc45b99885e782aec0b639de8599a2,2023-01-27,2023-05-14,cobaltstrike,2023-07-26,cobaltstrike,CobaltStrike
56b6c6a34eef8edd49f3f42cf6b9fd449d4d66715d1c695cfc27722be000cb15,2023-03-23,2023-04-07,rozena,2023-07-26,rozena,CobaltStrike
57cdb942491c853d3d303de9720f3165d2a0e0a1ec84e8c42b5ac41daf7bd12a,2023-04-13,2023-05-06,cobaltstrike,2023-07-26,cobaltstrike,CobaltStrike
5813d925dcd7c0400e03a34781fce601dc87ff5e783f4ab8c80090a204794281,2023-07-18,2023-07-23,cobaltstrike,2023-07-26,cobaltstrike,CobaltStrike
58c1dbe55d5dc8abc29ef21c26a42a8b23de9167647aa67c1c46c6c80dabf898,2023-03-18,2023-03-20,SINGLETON:989f5673c00d7070e9ad424921cb2bb5,2023-07-26,SINGLETON:989f5673c00d7070e9ad424921cb2bb5,CobaltStrike
5b2d046064d85578abc5e7ff686db9e20b8008aa72be99d10370551fe70d51b6,2023-01-08,2023-01-12,cobaltstrike,2023-07-26,cobaltstrike,CobaltStrike
