Hash,First Time Submission,Last Analysis 1,Label Family 1,Last Analysis 2,Label Family 2,Type of C2
1544506740cf90a3f795d76e6890a0ae,2023-05-18,2023-05-22,bruteratel,2023-07-11,bruteratel,BruteRatel
1b97637fd83abfb7ecab040a4cda2d52,2021-02-28,2023-06-27,brutel,2023-07-11,brutel,BruteRatel
2598940027f7ede97af8111b5a4787ad,2023-05-18,2023-06-19,bruteratel,2023-07-11,bruteratel,BruteRatel
2a236b97cbe783e1b3fd7ae70677c448,2023-05-19,2023-05-22,bruteratel,2023-07-11,bruteratel,BruteRatel
40be110927bd1fd668b52003b0b3f320,2023-05-19,2023-05-20,bruteratel,2023-07-11,bruteratel,BruteRatel
54a8ab1066da4045e48836813d09c487,2023-05-18,2023-05-22,bruteratel,2023-07-11,bruteratel,BruteRatel
6377147911f9025c4a5fa29524a45c67,2023-05-19,2023-05-22,bruteratel,2023-07-11,bruteratel,BruteRatel
9b664450b36154b74d610f0e22e27814,2022-06-26,2023-06-27,gencbl,2023-07-11,gencbl,BruteRatel
9e6abd9772cee3dc5a6aca3421adbaa0,2023-05-18,2023-05-19,bruteratel,2023-07-11,bruteratel,BruteRatel
c0111c56bbb9e6e563765d647ad5d38b,2023-05-28,2023-06-30,ratel,2023-07-11,ratel,BruteRatel
04dbbdaa161d0b09197a5eb8051af655,2023-06-22,2023-07-06,cobaltstrike,2023-07-11,cobaltstrike,CobaltStrike
080ee6c068e95db7a776793e167fb4bb9ad0efcb424a400ed3efe697400fc73a,2021-06-26,2023-07-04,shelma,2023-07-11,shelma,CobaltStrike
0d032d82dec12b4c35e2724d09ef23f517ee839efd673b26a28cec732ddce343,2022-01-29,2023-07-04,agenttesla,2023-07-11,agenttesla,CobaltStrike
1614671d1027c6663349daffd9f5112f,2023-06-23,2023-06-24,pioneer,2023-07-11,pioneer,CobaltStrike
18c55bf653816c7ad10210a04085658e6d7919ad041061387647bdda9549917a,2021-07-23,2023-07-04,SINGLETON:7e8cc3e57c7fbde46e82bff601790ef5,2023-07-11,SINGLETON:7e8cc3e57c7fbde46e82bff601790ef5,CobaltStrike
1e993ef7ee5f21b9f815ebf853b0bd40d3328a1bd6d680ffc3ace55e4bf73a89,2021-06-17,2023-07-04,stratos,2023-07-11,stratos,CobaltStrike
24197e271f0a1ae404e7e136a4d79d4e90537c18b4c598bef0801e32ca63b8c0,2021-06-05,2023-07-03,rozena,2023-07-11,rozena,CobaltStrike
3407ccc65dbba1feef8d866f14905ee0,2023-05-10,2023-06-23,cobaltstrike,2023-07-11,cobaltstrike,CobaltStrike
40928fdbb79f58afc4956c48d80af658,2023-06-21,2023-06-22,cobaltstrike,2023-07-11,cobaltstrike,CobaltStrike
84040f339a996a373ae8a0bb0e671be5,2021-03-16,2023-07-04,shelma,2023-07-11,shelma,CobaltStrike
2adcfc31d728844dd9021404d47c2466,2022-08-06,2023-02-28,tetanus,2023-07-11,tetanus,Covenant
33b99dbd8a6ad189b506acbf48682d2e,2023-06-08,2023-06-13,athena,2023-07-11,athena,Covenant
3ac6920e8f34d190e6349e2a750eba08,2023-06-16,2023-06-16,mythagent,2023-07-11,mythagent,Covenant
3d4e23b0186390c373cb47efeabedd9e,2023-05-09,2023-06-10,tetanus,2023-07-11,tetanus,Covenant
75b2de740045ef739b2b3ae520ba185f,2023-05-07,2023-05-21,poseidon,2023-07-11,poseidon,Covenant
90bb224f142b5d61e7a62fbeebdada79,2022-10-14,2023-05-15,tetanus,2023-07-11,tetanus,Covenant
9b094ca4a4bb312c34abf64b67bcf08a,2023-03-31,2023-04-15,poseidon,2023-07-11,poseidon,Covenant
9b64528352dd683e55eb308919a596fa,2022-09-22,2023-05-08,poseidon,2023-07-11,poseidon,Covenant
9c10f4b75480a190b783a0393e35e967,2023-03-29,2023-04-13,poseidon,2023-07-11,poseidon,Covenant
