Function,DLL,Occurence,Family,Associated
SetFilePointerEx,KERNEL32,8,"{'rozena': 2, 'cobaltstrike': 6}"
FindClose,KERNEL32,8,"{'rozena': 2, 'cobaltstrike': 6}",Helper
FindFirstFileExW,KERNEL32,7,"{'rozena': 2, 'cobaltstrike': 5}"
FindNextFileW,KERNEL32,7,"{'rozena': 2, 'cobaltstrike': 5}"
IsValidCodePage,KERNEL32,8,"{'rozena': 2, 'cobaltstrike': 6}"
GetACP,KERNEL32,8,"{'rozena': 2, 'cobaltstrike': 6}"
GetOEMCP,KERNEL32,8,"{'rozena': 2, 'cobaltstrike': 6}"
GetCPInfo,KERNEL32,8,"{'rozena': 2, 'cobaltstrike': 6}"
GetCommandLineA,KERNEL32,8,"{'rozena': 2, 'cobaltstrike': 6}"
GetCommandLineW,KERNEL32,8,"{'rozena': 2, 'cobaltstrike': 6}"
MultiByteToWideChar,KERNEL32,10,"{'rozena': 3, 'cobaltstrike': 6, 'tedy': 1}"
WideCharToMultiByte,KERNEL32,10,"{'nolabel': 1, 'rozena': 2, 'cobaltstrike': 6, 'tedy': 1}"
GetEnvironmentStringsW,KERNEL32,14,"{'rozena': 3, 'cobaltstrike': 8, 'shlem': 2, 'shelma': 1}"
FreeEnvironmentStringsW,KERNEL32,14,"{'rozena': 3, 'cobaltstrike': 8, 'shlem': 2, 'shelma': 1}"
GetProcessHeap,KERNEL32,11,"{'nolabel': 1, 'rozena': 3, 'cobaltstrike': 6, 'tedy': 1}",Injection
SetStdHandle,KERNEL32,8,"{'rozena': 2, 'cobaltstrike': 6}"
GetStringTypeW,KERNEL32,8,"{'rozena': 2, 'cobaltstrike': 6}"
ReadFile,KERNEL32,4,"{'rozena': 1, 'cobaltstrike': 3}",Enumeration
ReadConsoleW,KERNEL32,4,"{'rozena': 1, 'cobaltstrike': 3}"
CreateFileW,KERNEL32,8,"{'rozena': 2, 'cobaltstrike': 6}"
HeapSize,KERNEL32,8,"{'rozena': 2, 'cobaltstrike': 6}"
DecodePointer,KERNEL32,4,"{'rozena': 2, 'cobaltstrike': 2}"
GetModuleHandleA,KERNEL32,5,"{'shelma': 1, 'cobaltstrike': 2, 'rozena': 2}",Evasion
__C_specific_handler,MSVCRT,4,"{'shelma': 1, 'cobaltstrike': 2, 'rozena': 1}"
FindResourceA,KERNEL32,2,{'cobaltstrike': 2},Helper
LoadResource,KERNEL32,2,{'cobaltstrike': 2},Evasion
LockResource,KERNEL32,1,{'cobaltstrike': 1},Helper
RtlCaptureContext,KERNEL32,7,"{'cobaltstrike': 6, 'rozena': 1}"
RtlLookupFunctionEntry,KERNEL32,7,"{'cobaltstrike': 6, 'rozena': 1}"
RtlPcToFileHeader,KERNEL32,3,{'cobaltstrike': 3}
RtlUnwindEx,KERNEL32,6,{'cobaltstrike': 6}
RtlVirtualUnwind,KERNEL32,7,"{'cobaltstrike': 6, 'rozena': 1}"
SizeofResource,KERNEL32,2,{'cobaltstrike': 2}
WaitForMultipleObjects,KERNEL32,9,"{'shlem': 2, 'cobaltstrike': 5, 'rozena': 1, 'shelma': 1}",Evasion
WaitForSingleObject,KERNEL32,14,"{'shlem': 2, 'cobaltstrike': 9, 'rozena': 2, 'shelma': 1}",Evasion
VirtualQuery,KERNEL32,11,"{'nolabel': 1, 'shlem': 2, 'cobaltstrike': 4, 'rozena': 2, 'tedy': 1, 'shelma': 1}"
VirtualFree,KERNEL32,9,"{'shlem': 2, 'cobaltstrike': 4, 'rozena': 2, 'shelma': 1}"
SwitchToThread,KERNEL32,6,"{'shlem': 2, 'cobaltstrike': 2, 'rozena': 1, 'shelma': 1}"
SuspendThread,KERNEL32,9,"{'shlem': 2, 'cobaltstrike': 4, 'rozena': 2, 'shelma': 1}",Injection
SetWaitableTimer,KERNEL32,6,"{'shlem': 2, 'cobaltstrike': 2, 'rozena': 1, 'shelma': 1}",Evasion
SetProcessPriorityBoost,KERNEL32,6,"{'shlem': 2, 'cobaltstrike': 2, 'rozena': 1, 'shelma': 1}"
SetEvent,KERNEL32,10,"{'shlem': 2, 'cobaltstrike': 6, 'rozena': 1, 'shelma': 1}"
SetErrorMode,KERNEL32,6,"{'shlem': 2, 'cobaltstrike': 2, 'rozena': 1, 'shelma': 1}"
SetConsoleCtrlHandler,KERNEL32,8,"{'shlem': 2, 'cobaltstrike': 4, 'rozena': 1, 'shelma': 1}"
ResumeThread,KERNEL32,10,"{'shlem': 2, 'cobaltstrike': 5, 'rozena': 2, 'shelma': 1}",Injection
PostQueuedCompletionStatus,KERNEL32,6,"{'shlem': 2, 'cobaltstrike': 2, 'rozena': 1, 'shelma': 1}"
LoadLibraryW,KERNEL32,7,"{'shlem': 2, 'cobaltstrike': 3, 'rozena': 1, 'shelma': 1}"
SetThreadContext,KERNEL32,9,"{'shlem': 2, 'cobaltstrike': 4, 'rozena': 2, 'shelma': 1}",Injection
