Function,DLL,Occurence,Family,Associated
SuspendThread,KERNEL32,1,{'athena': 1},Injection
SetThreadContext,KERNEL32,1,{'athena': 1},Injection
GetEnabledXStateFeatures,KERNEL32,1,{'athena': 1}
InitializeContext,KERNEL32,1,{'athena': 1}
RtlRestoreContext,KERNEL32,1,{'athena': 1}
RtlInstallFunctionTableCallback,KERNEL32,1,{'athena': 1}
GetSystemDefaultLCID,KERNEL32,1,{'athena': 1}
GetUserDefaultLCID,KERNEL32,1,{'athena': 1}
RtlUnwind,KERNEL32,1,{'athena': 1}
LoadLibraryExW,KERNEL32,1,{'athena': 1}
HeapCreate,KERNEL32,1,{'athena': 1},Injection
HeapDestroy,KERNEL32,1,{'athena': 1}
OutputDebugStringA,KERNEL32,1,{'athena': 1},Anti-Debugging
GetACP,KERNEL32,1,{'athena': 1}
LCMapStringEx,KERNEL32,1,{'athena': 1}
VerSetConditionMask,KERNEL32,1,{'athena': 1}
VerifyVersionInfoW,KERNEL32,1,{'athena': 1}
QueryThreadCycleTime,KERNEL32,1,{'athena': 1}
VirtualAllocExNuma,KERNEL32,1,{'athena': 1},Injection
GetNumaProcessorNodeEx,KERNEL32,1,{'athena': 1}
GetNumaHighestNodeNumber,KERNEL32,1,{'athena': 1}
GetLogicalProcessorInformationEx,KERNEL32,1,{'athena': 1},Anti-Debugging
GetThreadGroupAffinity,KERNEL32,1,{'athena': 1}
GetSystemTimes,KERNEL32,1,{'athena': 1}
CreateFileMappingW,KERNEL32,1,{'athena': 1}
GetCPInfo,KERNEL32,1,{'athena': 1}
GetFileAttributesExW,KERNEL32,1,{'athena': 1}
FindFirstFileExW,KERNEL32,1,{'athena': 1}
LoadLibraryExA,KERNEL32,1,{'athena': 1},Evasion
OpenEventW,KERNEL32,1,{'athena': 1}
ExitThread,KERNEL32,1,{'athena': 1}
CreateNamedPipeA,KERNEL32,1,{'athena': 1}
GetActiveProcessorGroupCount,KERNEL32,1,{'athena': 1}
SetConsoleCtrlHandler,KERNEL32,1,{'athena': 1}
GetLocaleInfoEx,KERNEL32,1,{'athena': 1}
GetUserDefaultLocaleName,KERNEL32,1,{'athena': 1}
GetFileSizeEx,KERNEL32,1,{'athena': 1}
RaiseFailFastException,KERNEL32,1,{'athena': 1}
FreeLibrary,KERNEL32,1,{'athena': 1}
IsDebuggerPresent,KERNEL32,1,{'athena': 1},Anti-Debugging
SetFilePointer,KERNEL32,1,{'athena': 1}
GetModuleHandleExW,KERNEL32,1,{'athena': 1}
SetErrorMode,KERNEL32,1,{'athena': 1}
FlushProcessWriteBuffers,KERNEL32,1,{'athena': 1}
OutputDebugStringW,KERNEL32,1,{'athena': 1}
SetXStateFeaturesMask,KERNEL32,1,{'athena': 1}
DebugBreak,KERNEL32,1,{'athena': 1}
DecodePointer,KERNEL32,1,{'athena': 1}
GetStringTypeW,KERNEL32,1,{'athena': 1}
IsProcessorFeaturePresent,KERNEL32,1,{'athena': 1}
EncodePointer,KERNEL32,1,{'athena': 1}
RtlPcToFileHeader,KERNEL32,1,{'athena': 1}
InitializeConditionVariable,KERNEL32,1,{'athena': 1}
SleepConditionVariableCS,KERNEL32,1,{'athena': 1}
InitializeSRWLock,KERNEL32,1,{'athena': 1}
InitializeCriticalSectionEx,KERNEL32,1,{'athena': 1}
GetExitCodeThread,KERNEL32,1,{'athena': 1}
RegGetValueW,ADVAPI32,1,{'athena': 1}
SetKernelObjectSecurity,ADVAPI32,1,{'athena': 1}
RegQueryValueExW,ADVAPI32,1,{'athena': 1}
RegOpenKeyExW,ADVAPI32,1,{'athena': 1}
RegCloseKey,ADVAPI32,1,{'athena': 1},Helper
EventRegister,ADVAPI32,1,{'athena': 1}
SetThreadToken,ADVAPI32,1,{'athena': 1},Helper
RevertToSelf,ADVAPI32,1,{'athena': 1}
OpenThreadToken,ADVAPI32,1,{'athena': 1}
EventWriteTransfer,ADVAPI32,1,{'athena': 1}
EventWrite,ADVAPI32,1,{'athena': 1}
CoTaskMemAlloc,OLE32,1,{'athena': 1}
CoTaskMemFree,OLE32,1,{'athena': 1}
CoWaitForMultipleHandles,OLE32,1,{'athena': 1}
IIDFromString,OLE32,1,{'athena': 1}
CLSIDFromProgID,OLE32,1,{'athena': 1}
CoGetMarshalSizeMax,OLE32,1,{'athena': 1}
CoMarshalInterface,OLE32,1,{'athena': 1}
CoCreateGuid,OLE32,1,{'athena': 1}
CoGetObjectContext,OLE32,1,{'athena': 1}
CoRegisterInitializeSpy,OLE32,1,{'athena': 1}
CoGetContextToken,OLE32,1,{'athena': 1}
CoGetClassObject,OLE32,1,{'athena': 1}
CoCreateFreeThreadedMarshaler,OLE32,1,{'athena': 1}
CreateStreamOnHGlobal,OLE32,1,{'athena': 1}
StringFromGUID2,OLE32,1,{'athena': 1}
CoUnmarshalInterface,OLE32,1,{'athena': 1}
CoRevokeInitializeSpy,OLE32,1,{'athena': 1}
CoReleaseMarshalData,OLE32,1,{'athena': 1}
Ordinal_37,OLEAUT32,1,{'athena': 1}
Ordinal_18,OLEAUT32,1,{'athena': 1}
Ordinal_149,OLEAUT32,1,{'athena': 1}
Ordinal_150,OLEAUT32,1,{'athena': 1}
Ordinal_411,OLEAUT32,1,{'athena': 1}
Ordinal_26,OLEAUT32,1,{'athena': 1}
Ordinal_162,OLEAUT32,1,{'athena': 1}
Ordinal_202,OLEAUT32,1,{'athena': 1}
Ordinal_41,OLEAUT32,1,{'athena': 1}
Ordinal_228,OLEAUT32,1,{'athena': 1}
Ordinal_8,OLEAUT32,1,{'athena': 1}
Ordinal_9,OLEAUT32,1,{'athena': 1}
Ordinal_44,OLEAUT32,1,{'athena': 1}
Ordinal_12,OLEAUT32,1,{'athena': 1}
Ordinal_77,OLEAUT32,1,{'athena': 1}
Ordinal_183,OLEAUT32,1,{'athena': 1}
Ordinal_164,OLEAUT32,1,{'athena': 1}
Ordinal_16,OLEAUT32,1,{'athena': 1}
Ordinal_20,OLEAUT32,1,{'athena': 1}
Ordinal_17,OLEAUT32,1,{'athena': 1}
Ordinal_4,OLEAUT32,1,{'athena': 1}
Ordinal_7,OLEAUT32,1,{'athena': 1}
Ordinal_2,OLEAUT32,1,{'athena': 1}
Ordinal_201,OLEAUT32,1,{'athena': 1}
Ordinal_200,OLEAUT32,1,{'athena': 1}
Ordinal_6,OLEAUT32,1,{'athena': 1}
Ordinal_147,OLEAUT32,1,{'athena': 1}
Ordinal_323,OLEAUT32,1,{'athena': 1}
LoadStringW,USER32,1,{'athena': 1}
VerQueryValueW,VERSION,1,{'athena': 1}
GetFileVersionInfoExW,VERSION,1,{'athena': 1}
GetFileVersionInfoSizeExW,VERSION,1,{'athena': 1}
ShellExecuteW,SHELL32,1,{'athena': 1}
wcsncmp,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
iswupper,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
towlower,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
isalpha,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
isdigit,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
wcstok_s,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
strnlen,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
iswascii,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
towupper,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
wcscat_s,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
wcscpy_s,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
isupper,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
_wcsnicmp,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
_wcsdup,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
wcsncpy_s,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
tolower,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
islower,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
strtok_s,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
__strncnt,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
strncpy_s,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
strcpy_s,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
wcsncat_s,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
strncat_s,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
strcat_s,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
iswspace,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
wcsnlen,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
_wcsicmp,API-MS-WIN-CRT-STRING-L1-1-0,1,{'athena': 1}
__stdio_common_vswprintf_s,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
__p__commode,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
_set_fmode,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
__stdio_common_vsnprintf_s,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
__stdio_common_vfwprintf,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
_flushall,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
_wfsopen,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
__stdio_common_vfprintf,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
__stdio_common_vsprintf_s,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
fputws,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
__acrt_iob_func,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
_dup,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
setvbuf,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
fputwc,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
_get_stream_buffer_pointers,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
_fseeki64,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
fsetpos,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
ungetc,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
fgetpos,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
fgetc,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
__stdio_common_vswprintf,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
__stdio_common_vsscanf,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
__stdio_common_vsnwprintf_s,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
_putws,API-MS-WIN-CRT-STDIO-L1-1-0,1,{'athena': 1}
terminate,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,{'athena': 1}
_beginthreadex,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,{'athena': 1}
_initialize_onexit_table,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,{'athena': 1}
_register_onexit_function,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,{'athena': 1}
_crt_atexit,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,{'athena': 1}
_seh_filter_exe,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,{'athena': 1}
_set_app_type,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,{'athena': 1}
_invalid_parameter_noinfo_noreturn,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,{'athena': 1}
_configure_wide_argv,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,{'athena': 1}
_initialize_wide_environment,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,{'athena': 1}
_get_initial_wide_environment,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,{'athena': 1}
_initterm_e,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,{'athena': 1}
_controlfp_s,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,{'athena': 1}
__p___argc,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,{'athena': 1}
__p___wargv,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,{'athena': 1}
_c_exit,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,{'athena': 1}
_register_thread_local_exe_atexit_callback,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,{'athena': 1}
_invalid_parameter_noinfo,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,{'athena': 1}
_wcserror,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,{'athena': 1}
atol,API-MS-WIN-CRT-CONVERT-L1-1-0,1,{'athena': 1}
_ltow_s,API-MS-WIN-CRT-CONVERT-L1-1-0,1,{'athena': 1}
strtoull,API-MS-WIN-CRT-CONVERT-L1-1-0,1,{'athena': 1}
_atoi64,API-MS-WIN-CRT-CONVERT-L1-1-0,1,{'athena': 1}
wcstoul,API-MS-WIN-CRT-CONVERT-L1-1-0,1,{'athena': 1}
_wtoi,API-MS-WIN-CRT-CONVERT-L1-1-0,1,{'athena': 1}
_wcstoui64,API-MS-WIN-CRT-CONVERT-L1-1-0,1,{'athena': 1}
_itow_s,API-MS-WIN-CRT-CONVERT-L1-1-0,1,{'athena': 1}
atanf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
atan2f,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
atan2,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
atan,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
asinf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
asin,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
acosf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
modff,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
cos,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
powf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
pow,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
floorf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
log2,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
atanh,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
acosh,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
cosf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
cbrt,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
asinh,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
asinhf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
ilogbf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
atanhf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
cbrtf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
acoshf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
log2f,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
fma,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
fmaf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
fmod,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
cosh,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
coshf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
modf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
exp,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
expf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
_fdopen,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
floor,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
_copysign,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
_copysignf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
_isnanf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
__setusermatherr,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
_isnan,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
ceilf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
fmodf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
ilogb,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
frexp,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
log,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
log10,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
log10f,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
logf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
_finite,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
sin,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
sinf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
sinh,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
sinhf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
sqrt,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
sqrtf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
tan,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
tanf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
tanh,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
acos,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
tanhf,API-MS-WIN-CRT-MATH-L1-1-0,1,{'athena': 1}
wcsftime,API-MS-WIN-CRT-TIME-L1-1-0,1,{'athena': 1}
_gmtime64_s,API-MS-WIN-CRT-TIME-L1-1-0,1,{'athena': 1}
_configthreadlocale,API-MS-WIN-CRT-LOCALE-L1-1-0,1,{'athena': 1}
_lock_locales,API-MS-WIN-CRT-LOCALE-L1-1-0,1,{'athena': 1}
setlocale,API-MS-WIN-CRT-LOCALE-L1-1-0,1,{'athena': 1}
__pctype_func,API-MS-WIN-CRT-LOCALE-L1-1-0,1,{'athena': 1}
___lc_locale_name_func,API-MS-WIN-CRT-LOCALE-L1-1-0,1,{'athena': 1}
___lc_codepage_func,API-MS-WIN-CRT-LOCALE-L1-1-0,1,{'athena': 1}
___mb_cur_max_func,API-MS-WIN-CRT-LOCALE-L1-1-0,1,{'athena': 1}
localeconv,API-MS-WIN-CRT-LOCALE-L1-1-0,1,{'athena': 1}
_wrename,API-MS-WIN-CRT-FILESYSTEM-L1-1-0,1,{'athena': 1}
_wremove,API-MS-WIN-CRT-FILESYSTEM-L1-1-0,1,{'athena': 1}
_unlock_file,API-MS-WIN-CRT-FILESYSTEM-L1-1-0,1,{'athena': 1}
_lock_file,API-MS-WIN-CRT-FILESYSTEM-L1-1-0,1,{'athena': 1}
RoUninitialize,API-MS-WIN-CORE-WINRT-L1-1-0,1,{'athena': 1}
RoInitialize,API-MS-WIN-CORE-WINRT-L1-1-0,1,{'athena': 1}
