Function,DLL,Occurence,Family,Associated
UnhandledExceptionFilter,KERNEL32,5,"{'shelm': 3, 'shlem': 1, 'donut': 1}"
__C_specific_handler,MSVCRT,3,{'shelm': 3}
__getmainargs,MSVCRT,3,{'shelm': 3}
__iob_func,MSVCRT,3,{'shelm': 3}
__set_app_type,MSVCRT,3,{'shelm': 3}
_amsg_exit,MSVCRT,3,{'shelm': 3}
_cexit,MSVCRT,3,{'shelm': 3}
_fileno,MSVCRT,3,{'shelm': 3}
_get_osfhandle,MSVCRT,3,{'shelm': 3}
_initterm,MSVCRT,3,{'shelm': 3}
_onexit,MSVCRT,3,{'shelm': 3}
_setjmp,MSVCRT,3,{'shelm': 3}
_setmode,MSVCRT,3,{'shelm': 3}
_wfopen,MSVCRT,3,{'shelm': 3}
abort,MSVCRT,3,{'shelm': 3}
calloc,MSVCRT,3,{'shelm': 3}
fflush,MSVCRT,3,{'shelm': 3}
fprintf,MSVCRT,3,{'shelm': 3}
fputc,MSVCRT,3,{'shelm': 3}
fputs,MSVCRT,2,{'shelm': 2}
free,MSVCRT,3,{'shelm': 3}
fwrite,MSVCRT,3,{'shelm': 3}
malloc,MSVCRT,3,{'shelm': 3}
memchr,MSVCRT,3,{'shelm': 3}
memcpy,MSVCRT,3,{'shelm': 3}
memset,MSVCRT,3,{'shelm': 3}
printf,MSVCRT,3,{'shelm': 3}
setvbuf,MSVCRT,3,{'shelm': 3}
signal,MSVCRT,3,{'shelm': 3}
strlen,MSVCRT,3,{'shelm': 3}
strncmp,MSVCRT,3,{'shelm': 3}
vfprintf,MSVCRT,3,{'shelm': 3}
longjmp,MSVCRT,3,{'shelm': 3}
MessageBoxA,USER32,3,{'shelm': 3}
_CorExeMain,MSCOREE,3,"{'tedy': 1, 'sliver': 2}"
GetCurrentDirectoryA,KERNEL32,1,{'shlem': 1}
CreateFileA,KERNEL32,3,"{'shlem': 1, 'donut': 1, 'vilers': 1}",Helper
FindClose,KERNEL32,2,"{'shlem': 1, 'donut': 1}",Helper
FindFirstFileA,KERNEL32,2,"{'shlem': 1, 'donut': 1}",Enumeration
FindNextFileA,KERNEL32,2,"{'shlem': 1, 'donut': 1}",Enumeration
GetFileInformationByHandle,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
ConnectNamedPipe,KERNEL32,1,{'shlem': 1},Helper
DisconnectNamedPipe,KERNEL32,1,{'shlem': 1}
HeapAlloc,KERNEL32,2,"{'shlem': 1, 'donut': 1}",Injection
HeapFree,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
GetProcessHeap,KERNEL32,2,"{'shlem': 1, 'donut': 1}",Injection
TryEnterCriticalSection,KERNEL32,1,{'shlem': 1}
CreateNamedPipeA,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
WaitNamedPipeA,KERNEL32,1,{'shlem': 1}
CreateActCtxA,KERNEL32,1,{'shlem': 1}
ActivateActCtx,KERNEL32,1,{'shlem': 1}
InitializeSListHead,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
RtlCaptureContext,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
IsDebuggerPresent,KERNEL32,2,"{'shlem': 1, 'donut': 1}",Anti-Debugging
GetStartupInfoW,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
IsProcessorFeaturePresent,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
GetModuleHandleW,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
RtlUnwindEx,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
InterlockedFlushSList,KERNEL32,1,{'shlem': 1}
SetLastError,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
InitializeCriticalSectionAndSpinCount,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
TlsAlloc,KERNEL32,3,"{'shlem': 1, 'donut': 1, 'vilers': 1}"
TlsSetValue,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
TlsFree,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
FreeLibrary,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
LoadLibraryExW,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
GetModuleHandleExW,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
GetModuleFileNameA,KERNEL32,1,{'shlem': 1},Helper
MultiByteToWideChar,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
WideCharToMultiByte,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
LCMapStringW,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
FindFirstFileExA,KERNEL32,1,{'shlem': 1}
IsValidCodePage,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
GetACP,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
GetOEMCP,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
GetCPInfo,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
GetCommandLineA,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
GetCommandLineW,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
GetFileType,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
GetStringTypeW,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
HeapSize,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
HeapReAlloc,KERNEL32,2,"{'shlem': 1, 'donut': 1}",Injection
SetStdHandle,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
FlushFileBuffers,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
GetConsoleCP,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
SetFilePointerEx,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
CreateFileW,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
RaiseException,KERNEL32,2,"{'shlem': 1, 'donut': 1}"
GetComputerNameA,KERNEL32,1,{'donut': 1},Anti-Debugging
GetCurrentActCtx,KERNEL32,1,{'donut': 1}
GetFileAttributesA,KERNEL32,1,{'donut': 1},Enumeration
LockFile,KERNEL32,1,{'donut': 1}
UnlockFile,KERNEL32,1,{'donut': 1}
SetFileAttributesA,KERNEL32,1,{'donut': 1},Evasion
OpenFileMappingA,KERNEL32,1,{'donut': 1},Injection
GetModuleFileNameW,KERNEL32,1,{'donut': 1}
FindFirstFileExW,KERNEL32,1,{'donut': 1}
FindNextFileW,KERNEL32,1,{'donut': 1}
WaitForMultipleObjects,KERNEL32,1,{'vilers': 1},Evasion
SuspendThread,KERNEL32,1,{'vilers': 1},Injection
ResumeThread,KERNEL32,1,{'vilers': 1},Injection
PostQueuedCompletionStatus,KERNEL32,1,{'vilers': 1}
SetThreadContext,KERNEL32,1,{'vilers': 1},Injection
GetThreadContext,KERNEL32,1,{'vilers': 1},Injection
GetQueuedCompletionStatusEx,KERNEL32,1,{'vilers': 1}
CreateWaitableTimerExW,KERNEL32,1,{'vilers': 1}
