Hash,First Time Submission,Last Analysis 1,Label Family 1,Last Analysis 2,Label Family 2,Type of C2
eabb8e162f4c30c1157b0a4758ca5076f18cf4e31d7571020635dedd8d51c795,2023-06-21,2023-07-06,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
ec621d8d37fd8e0032228b3d756f2dc557f22b9b7e9fa02d3c53106d63644748,2023-05-24,2023-06-25,jobutyve,2023-07-19,mint,CobaltStrike
f0851c538e61353570d558ef39be103b8ddb5427e33f9e8b4ab991ea34a5942c,2023-06-20,2023-07-18,leonem,2023-07-19,SINGLETON:b2fde536e23d94f84ed3ecf3ccb1d295,CobaltStrike
f9d6bf219602f987be31d47917824960cdf466d4be2df33768b9f939054d0928,2023-07-07,2023-07-12,shellcoderunner,2023-07-19,shellcoderunner,CobaltStrike
fcb4d3bcaefcdffd70a72c9680090f72bb70a90d61c67e2a76b1f8a54818c70a,2023-06-30,2023-07-03,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
b95781c20c5a77c56384ae5f239aff908709dd4502437801d880f7702e2da862,2023-05-29,2023-06-01,covent,2023-07-19,grunt,Covenant
06d933b141bdb7cbd349deb355092adecf43d70c95c1f130908b4655e605d751,2023-07-13,2023-07-15,msilzilla,2023-07-19,msilzilla,MetaSploit
281f7edc9ed294b8a1589b8377edc747aaa6ebdaf173dadc96e12c77e7a7a4b3,2022-04-27,2023-07-17,rozena,2023-07-19,rozena,MetaSploit
28fd3a1d9087d7b103b7f6cfca002798b6365fe6ebcc66fa02dbb4a9e6378e71,2016-12-07,2023-06-30,petya,2023-07-19,petya,MetaSploit
2c1202010c1914e517f2d1303c82283286adbf56be408d0facadcba5154598fe,2023-06-30,2023-07-02,shelma,2023-07-19,shelma,MetaSploit
2f6c15714bff3a5c6761ef2f1e61af96fac718abacefdb4e74c9a94ab5974600,2023-05-20,2023-06-21,rozena,2023-07-19,rozena,MetaSploit
3185876cb0717e3d8d6afadc8cbb2d439ad01cc3f4e172936b0d0ebc398c082c,2023-05-25,2023-06-07,valyria,2023-07-19,valyria,MetaSploit
35f634a00e48d1431c6845e2b72fdc79b373e7d905c6a79b0ed4755b4e8b023b,2023-06-01,2023-06-30,cobaltstrike,2023-07-19,cobaltstrike,MetaSploit
44b65f19cc2ad9f897269fb9b02b9266718e9bd911e67ca0fb48b638d3627a6c,2023-07-06,2023-07-06,SINGLETON:d97066e13423d249fdceadb62db460e0,2023-07-19,SINGLETON:d97066e13423d249fdceadb62db460e0,MetaSploit
4549cb2e8379c4ebe89d845e669c54bf84ca05f594fc58a8cf81436188a9ce0a,2023-07-05,2023-07-07,meterpreter,2023-07-19,rozena,MetaSploit
517c28639a180fd2e1acdb0142f126ad90ce46333096e07f5064adc1a0b48292,2023-06-10,2023-06-16,rozena,2023-07-19,rozena,MetaSploit
568fd0475023168370fa2fd1d4467b3eaa41cd320b142a092f5496b93cd03298,2023-05-20,2023-05-23,rozena,2023-07-19,rozena,MetaSploit
5a701e7086350c67b542a0ba59076be8b66537ca14eecbe9815d266c42856f44,2023-05-20,2023-05-23,shelma,2023-07-19,shelma,MetaSploit
5f4740ee065cca602b02be671fb078b63bb5fe2f733614c7207a87ab9b9454dd,2023-05-20,2023-06-21,rozena,2023-07-19,rozena,MetaSploit
73f23c2fce59ad359661302bf39adcfbc522fd80208fb5f22cd69fdde40ae3f8,2023-05-20,2023-05-24,shelma,2023-07-19,shelma,MetaSploit
77373a2d0c22152cf281cbedf8d8e8f71b70e3196faa6f3d8fa5392bd25109a9,2023-05-20,2023-06-21,rozena,2023-07-19,rozena,MetaSploit
77e5b41845ef18bf4281a89a19b9da9f7f2949f92d07d68ed85ff25b31061ff1,2023-05-20,2023-05-23,rozena,2023-07-19,rozena,MetaSploit
785b5a5a7e290b1a00edf82a373b05dda47f252ec91ec64659b64eb98f9cba7a,2023-05-31,2023-06-02,rozena,2023-07-19,shella,MetaSploit
7f5b0d5a1a15c2fd6534803134d1995958ad487fc718b5ef54314c3a8de1724d,2023-05-31,2023-06-02,rozena,2023-07-19,shella,MetaSploit
7ff11ca6d119185d7ebdfb1d5a2e88cffda19f13e4b582aa5463e1b3bc763938,2023-05-21,2023-05-23,rozena,2023-07-19,rozena,MetaSploit
8012df1d348d1fd3a17244e9582a9d6f6057332a2391c9abc68a2b67a1426f89,2023-05-24,2023-05-25,rozena,2023-07-19,rozena,MetaSploit
84e917adbd398c3758c2dda4b348f2604c24075bf4986f37cf11a6e7c6ee44c6,2023-06-29,2023-06-29,pshell,2023-07-19,rozena,MetaSploit
8897994e897bb1b2d22188d332ea972eff725b3b02b9dab0e5b5e73ab60d79c4,2023-05-03,2023-07-12,bobik,2023-07-19,bobik,MetaSploit
8e44acb46f8012f3b913327f908c0c5cc4d8ac4185836f1dd589dec4fc813eb6,2023-05-20,2023-05-23,shelma,2023-07-19,shelma,MetaSploit
9ea023e6cfd8bc91f229bf524942c1636743d535614a371f81f1c1294539f211,2023-07-04,2023-07-05,rozena,2023-07-19,rozena,MetaSploit
a46f92dffeda6201d3504179c83397f2dd9bb24617b623b1aeaf3be3ce503058,2023-05-22,2023-06-09,rozena,2023-07-19,rozena,MetaSploit
a857544f055d8d01a6c8dcf7c2d24ba065ba3c11800b8ce72d3eb530ab6321c6,2023-05-20,2023-05-23,rozena,2023-07-19,rozena,MetaSploit
aeb5278f687bb42d021fb488789189e622f13118c9c175d603ab9f5b6d99c460,2023-05-20,2023-05-23,shelma,2023-07-19,shelma,MetaSploit
b1f32e797d0ff51fd926834b89167ba45c3ca8a75f2cfe8cda7dbb1c9fdc6775,2023-05-31,2023-06-02,rozena,2023-07-19,shella,MetaSploit
b5a4977adcb122b2972b3e4566beaf85385bd12ceee14e594d4432e0195c5710,2023-06-29,2023-06-29,pshell,2023-07-19,rozena,MetaSploit
bb0276cbab8e83a2d0e937c00900c258c90245ba51e0774df933a9b500c3b330,2023-05-20,2023-05-23,rozena,2023-07-19,SINGLETON:9335f10e3c49194da6a3feda2514656c,MetaSploit
bd0d8e1c8b6ab5c6d30252f25cc57c7ecbbcf8cf8b9719d3735564a395369e30,2023-05-20,2023-05-23,rozena,2023-07-19,rozena,MetaSploit
bd9dafd9a575b5cb77bae553a5277d335b84f0d2aca4d7f684b14baf98d3d3ae,2023-06-29,2023-06-29,pshell,2023-07-19,rozena,MetaSploit
c01068e733eb7056b1c9c6ec8692c379c28fa775445755ee913153ca2e69fc6b,2023-07-16,2023-07-17,cobaltstrike,2023-07-19,cobaltstrike,MetaSploit
cb4257531a81242176d9921778a8cc95dcf6c592563f97ccc0e7788a3cafc6e9,2023-06-29,2023-07-09,rozena,2023-07-19,shelm,MetaSploit
cb6bc2fd5c259704785d403d7fb34dbabfb62435c56e0eaf82d05bc8839c865a,2023-05-20,2023-06-21,rozena,2023-07-19,rozena,MetaSploit
dd365bece1468d674807de41d98a37f039c663209c98d649431ef77a6f1debcb,2023-05-21,2023-06-28,rozena,2023-07-19,rozena,MetaSploit
e59f1b185c402933bf492d9fae520d6695bb4fea4e3cd00739a23efc4cf0269d,2023-07-01,2023-07-11,rozena,2023-07-19,cobaltstrike,MetaSploit
eaad0abb560da91e8eb3d7cb3bcf53c9008d24693a1a0929ce678c2816d2b135,2023-05-20,2023-05-23,rozena,2023-07-19,SINGLETON:166a2886c41f9fe3ae63aebec1e2a11e,MetaSploit
f8954756782c6b8180ba447bf373386e8112d17cdc196a30f88addbf608e25d0,2023-06-29,2023-06-29,rozena,2023-07-19,rozena,MetaSploit
fdd4555ee11ccc2d4e86bbfdf0e294f1996d4f283029ab0b4f4cc6e876ebe5a7,2023-05-20,2023-06-21,rozena,2023-07-19,rozena,MetaSploit
009f0391a6ad93e17b7c8719dcbdb50d46bc5cb6afe8af2a60e00f4bcb41cf3e,2023-06-10,2023-07-12,sliver,2023-07-19,sliver,Sliver
1846c1db07d4f9a3a86605e38c0be5da38074b91cfafa1a72bccc693b06346e4,2022-09-13,2023-06-11,sliver,2023-07-19,sliver,Sliver
2b786b8895d814c5d825f4eac99b009eb6aa16f66f6e5191b023e4ebc99fda66,2023-02-19,2023-04-22,tedy,2023-07-19,donut,Sliver
31e21a23b571fb59b029dbf521ba63302aff87a9de53f16e5e2599060f168805,2023-02-19,2023-07-12,shelm,2023-07-19,shelm,Sliver
3221de492e436a79655b4a82b72830a28de3aa417300fdf06e0b28202053ff3e,2022-10-01,2023-07-11,sliver,2023-07-19,sliver,Sliver
3c7965274416eb4007c1d96838bb0d144b2a5e32886a6975d236696ad6824697,2023-01-04,2023-05-09,shelm,2023-07-19,shelm,Sliver
443909fd3bd656508ee545e7de7162a83a2820fd844ef64e9b155605f8408dd1,2022-12-21,2023-01-02,shelm,2023-07-19,shelm,Sliver
5568131f894caf1217f4cbda3dd40c1f39e680ce7727ed4a767cd1986e7805f0,2022-05-12,2023-04-21,sliver,2023-07-19,sliver,Sliver
5c973707940097122ec97fcb73e7b14f054c11c7e1dd958efe933ae3c6a78c4e,2022-05-12,2023-06-14,sliver,2023-07-19,sliver,Sliver
78eb647f3d2aae5c52fcdc46ac1b27fb5a388ad39abbe614c0cfc902d223ccd6,2022-07-14,2023-04-21,sliver,2023-07-19,sliver,Sliver
97fca8c72a1dec07e15780f3e7299d6652c86b8be4c603493116657da0b84fc9,2023-06-10,2023-07-12,sliver,2023-07-19,sliver,Sliver
9fb9483c4b5f51906736ddffe7c4faebe924cc7d1a6160043ade31f1bd1f174b,2023-02-14,2023-07-11,donut,2023-07-19,donut,Sliver
a3a0c54e73818117c90f4b1086144b4975abb6531a9abc6ebd7eef78aff359fb,2023-07-01,2023-07-11,sliver,2023-07-19,sliver,Sliver
b245c7bbf3314d1c962b5687cf3d60ccc9a6665d8fa7bd3a7dda688021583280,2023-06-10,2023-07-12,sliver,2023-07-19,sliver,Sliver
ed66f9866c319e5bfb5ebda275c2a07c504e350cdffaefd3346f4dfb6f21ff78,2023-04-17,2023-07-13,sliver,2023-07-19,sliver,Sliver
f13deec28f6f6d3f4f555f5a2db48cd8a541be52c331ccfccba929e4dfd6bc7a,2022-05-12,2023-04-21,sliver,2023-07-19,sliver,Sliver
f63993a7e4dc3e4242509482ca4d9ee1cbd4c00d219503ecf5d139d763a42f35,2022-11-26,2022-12-18,sliver,2023-07-19,sliver,Sliver
fa647a34b88c5409a58d2f2568147fa03112eb8bfa34bccd801830446213d7c4,2022-05-12,2023-04-21,sliver,2023-07-19,sliver,Sliver
