Function,DLL,Occurence,Family,Associated
_CorExeMain,MSCOREE,1,{'msilzilla': 1}
Ordinal_8,OLEAUT32,8,"{'nolabel': 3, 'sharps': 3, 'registrystorage': 1, 'cobaltstrike': 1}"
Ordinal_9,OLEAUT32,9,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 1, 'registrystorage': 1}"
Ordinal_44,OLEAUT32,3,{'sharps': 3}
Ordinal_12,OLEAUT32,6,"{'nolabel': 1, 'sharps': 3, 'rozena': 1, 'cobaltstrike': 1}"
Ordinal_77,OLEAUT32,3,{'sharps': 3}
Ordinal_183,OLEAUT32,3,{'sharps': 3}
Ordinal_164,OLEAUT32,3,{'sharps': 3}
Ordinal_16,OLEAUT32,3,{'sharps': 3}
Ordinal_20,OLEAUT32,4,"{'nolabel': 1, 'sharps': 3}"
Ordinal_17,OLEAUT32,4,"{'nolabel': 1, 'sharps': 3}"
Ordinal_4,OLEAUT32,7,"{'nolabel': 2, 'sharps': 3, 'rozena': 1, 'cobaltstrike': 1}"
Ordinal_7,OLEAUT32,6,"{'nolabel': 1, 'sharps': 3, 'rozena': 1, 'cobaltstrike': 1}"
Ordinal_2,OLEAUT32,7,"{'nolabel': 1, 'sharps': 3, 'cobaltstrike': 2, 'registrystorage': 1}"
Ordinal_201,OLEAUT32,3,{'sharps': 3}
Ordinal_200,OLEAUT32,3,{'sharps': 3}
Ordinal_6,OLEAUT32,6,"{'nolabel': 1, 'sharps': 3, 'registrystorage': 1, 'cobaltstrike': 1}"
Ordinal_147,OLEAUT32,3,{'sharps': 3}
Ordinal_323,OLEAUT32,3,{'sharps': 3}
LoadStringW,USER32,9,"{'sharps': 3, 'cobaltstrike': 1, 'rozena': 2, 'dealply': 2, 'malheur': 1}"
VerQueryValueW,VERSION,4,"{'sharps': 3, 'malheur': 1}"
GetFileVersionInfoExW,VERSION,3,{'sharps': 3}
GetFileVersionInfoSizeExW,VERSION,3,{'sharps': 3}
ShellExecuteW,SHELL32,4,"{'sharps': 3, 'cobaltstrike': 1}"
strncmp,API-MS-WIN-CRT-STRING-L1-1-0,6,"{'sharps': 3, 'rozena': 2, 'convagent': 1}"
wcsncmp,API-MS-WIN-CRT-STRING-L1-1-0,4,"{'sharps': 3, 'rozena': 1}"
iswupper,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
towlower,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
isalpha,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
isdigit,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
wcstok_s,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
strnlen,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
iswascii,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
towupper,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
wcscat_s,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
strcspn,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
wcscpy_s,API-MS-WIN-CRT-STRING-L1-1-0,4,"{'sharps': 3, 'cobaltstrike': 1}"
_stricmp,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
strlen,API-MS-WIN-CRT-STRING-L1-1-0,5,"{'sharps': 3, 'rozena': 1, 'convagent': 1}"
isupper,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
strcmp,API-MS-WIN-CRT-STRING-L1-1-0,5,"{'sharps': 3, 'rozena': 1, 'convagent': 1}"
_wcsnicmp,API-MS-WIN-CRT-STRING-L1-1-0,4,"{'sharps': 3, 'rozena': 1}"
_wcsdup,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
wcsncpy_s,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
tolower,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
islower,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
strtok_s,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
isspace,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
_strdup,API-MS-WIN-CRT-STRING-L1-1-0,4,"{'sharps': 3, 'rozena': 1}"
__strncnt,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
strncpy_s,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
strcpy_s,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
wcsncat_s,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
strncat_s,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
strcat_s,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
iswspace,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
wcsnlen,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
_strnicmp,API-MS-WIN-CRT-STRING-L1-1-0,4,"{'sharps': 3, 'rozena': 1}"
_wcsicmp,API-MS-WIN-CRT-STRING-L1-1-0,3,{'sharps': 3}
fwrite,API-MS-WIN-CRT-STDIO-L1-1-0,5,"{'sharps': 3, 'rozena': 1, 'convagent': 1}"
__stdio_common_vswprintf_s,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
__p__commode,API-MS-WIN-CRT-STDIO-L1-1-0,5,"{'sharps': 3, 'cobaltstrike': 1, 'rozena': 1}"
_set_fmode,API-MS-WIN-CRT-STDIO-L1-1-0,4,"{'sharps': 3, 'cobaltstrike': 1}"
__stdio_common_vsnprintf_s,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
__stdio_common_vfwprintf,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
_flushall,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
_wfopen,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
_wfsopen,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
fseek,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
__stdio_common_vfprintf,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
ftell,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
__stdio_common_vsprintf_s,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
fputws,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
__acrt_iob_func,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
fflush,API-MS-WIN-CRT-STDIO-L1-1-0,4,"{'sharps': 3, 'rozena': 1}"
_fileno,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
_dup,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
_setmode,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
setvbuf,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
fputwc,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
_get_stream_buffer_pointers,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
_fseeki64,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
fread,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
fsetpos,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
ungetc,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
fgetpos,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
fgetc,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
fputc,API-MS-WIN-CRT-STDIO-L1-1-0,4,"{'sharps': 3, 'rozena': 1}"
__stdio_common_vswprintf,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
fclose,API-MS-WIN-CRT-STDIO-L1-1-0,4,"{'sharps': 3, 'rozena': 1}"
fgets,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
__stdio_common_vsscanf,API-MS-WIN-CRT-STDIO-L1-1-0,4,"{'sharps': 3, 'cobaltstrike': 1}"
fopen,API-MS-WIN-CRT-STDIO-L1-1-0,4,"{'sharps': 3, 'rozena': 1}"
fputs,API-MS-WIN-CRT-STDIO-L1-1-0,4,"{'sharps': 3, 'rozena': 1}"
__stdio_common_vsnwprintf_s,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
_putws,API-MS-WIN-CRT-STDIO-L1-1-0,3,{'sharps': 3}
terminate,API-MS-WIN-CRT-RUNTIME-L1-1-0,4,"{'sharps': 3, 'cobaltstrike': 1}"
_errno,API-MS-WIN-CRT-RUNTIME-L1-1-0,5,"{'sharps': 3, 'rozena': 2}"
_beginthreadex,API-MS-WIN-CRT-RUNTIME-L1-1-0,3,{'sharps': 3}
abort,API-MS-WIN-CRT-RUNTIME-L1-1-0,5,"{'sharps': 3, 'rozena': 1, 'convagent': 1}"
exit,API-MS-WIN-CRT-RUNTIME-L1-1-0,7,"{'sharps': 3, 'cobaltstrike': 1, 'rozena': 2, 'convagent': 1}"
_initialize_onexit_table,API-MS-WIN-CRT-RUNTIME-L1-1-0,4,"{'sharps': 3, 'cobaltstrike': 1}"
_register_onexit_function,API-MS-WIN-CRT-RUNTIME-L1-1-0,4,"{'sharps': 3, 'cobaltstrike': 1}"
_crt_atexit,API-MS-WIN-CRT-RUNTIME-L1-1-0,4,"{'sharps': 3, 'cobaltstrike': 1}"
_cexit,API-MS-WIN-CRT-RUNTIME-L1-1-0,6,"{'sharps': 3, 'cobaltstrike': 1, 'rozena': 1, 'convagent': 1}"
_seh_filter_exe,API-MS-WIN-CRT-RUNTIME-L1-1-0,4,"{'sharps': 3, 'cobaltstrike': 1}"
_set_app_type,API-MS-WIN-CRT-RUNTIME-L1-1-0,4,"{'sharps': 3, 'cobaltstrike': 1}"
_invalid_parameter_noinfo_noreturn,API-MS-WIN-CRT-RUNTIME-L1-1-0,3,{'sharps': 3}
_configure_wide_argv,API-MS-WIN-CRT-RUNTIME-L1-1-0,4,"{'sharps': 3, 'cobaltstrike': 1}"
_initialize_wide_environment,API-MS-WIN-CRT-RUNTIME-L1-1-0,4,"{'sharps': 3, 'cobaltstrike': 1}"
_get_initial_wide_environment,API-MS-WIN-CRT-RUNTIME-L1-1-0,3,{'sharps': 3}
_initterm,API-MS-WIN-CRT-RUNTIME-L1-1-0,7,"{'sharps': 3, 'cobaltstrike': 1, 'rozena': 2, 'convagent': 1}"
_initterm_e,API-MS-WIN-CRT-RUNTIME-L1-1-0,4,"{'sharps': 3, 'cobaltstrike': 1}"
_exit,API-MS-WIN-CRT-RUNTIME-L1-1-0,5,"{'sharps': 3, 'cobaltstrike': 1, 'rozena': 1}"
_controlfp_s,API-MS-WIN-CRT-RUNTIME-L1-1-0,4,"{'sharps': 3, 'cobaltstrike': 1}"
__p___argc,API-MS-WIN-CRT-RUNTIME-L1-1-0,3,{'sharps': 3}
__p___wargv,API-MS-WIN-CRT-RUNTIME-L1-1-0,3,{'sharps': 3}
_c_exit,API-MS-WIN-CRT-RUNTIME-L1-1-0,4,"{'sharps': 3, 'cobaltstrike': 1}"
_register_thread_local_exe_atexit_callback,API-MS-WIN-CRT-RUNTIME-L1-1-0,4,"{'sharps': 3, 'cobaltstrike': 1}"
_invalid_parameter_noinfo,API-MS-WIN-CRT-RUNTIME-L1-1-0,3,{'sharps': 3}
_wcserror,API-MS-WIN-CRT-RUNTIME-L1-1-0,3,{'sharps': 3}
atol,API-MS-WIN-CRT-CONVERT-L1-1-0,3,{'sharps': 3}
_ltow_s,API-MS-WIN-CRT-CONVERT-L1-1-0,3,{'sharps': 3}
strtoull,API-MS-WIN-CRT-CONVERT-L1-1-0,3,{'sharps': 3}
_atoi64,API-MS-WIN-CRT-CONVERT-L1-1-0,3,{'sharps': 3}
strtoul,API-MS-WIN-CRT-CONVERT-L1-1-0,3,{'sharps': 3}
wcstoul,API-MS-WIN-CRT-CONVERT-L1-1-0,3,{'sharps': 3}
_wtoi,API-MS-WIN-CRT-CONVERT-L1-1-0,3,{'sharps': 3}
_wcstoui64,API-MS-WIN-CRT-CONVERT-L1-1-0,3,{'sharps': 3}
_itow_s,API-MS-WIN-CRT-CONVERT-L1-1-0,3,{'sharps': 3}
calloc,API-MS-WIN-CRT-HEAP-L1-1-0,6,"{'sharps': 3, 'rozena': 2, 'convagent': 1}"
free,API-MS-WIN-CRT-HEAP-L1-1-0,7,"{'sharps': 3, 'cobaltstrike': 1, 'rozena': 2, 'convagent': 1}"
malloc,API-MS-WIN-CRT-HEAP-L1-1-0,6,"{'sharps': 3, 'rozena': 2, 'convagent': 1}"
realloc,API-MS-WIN-CRT-HEAP-L1-1-0,5,"{'sharps': 3, 'rozena': 2}"
qsort,API-MS-WIN-CRT-UTILITY-L1-1-0,4,"{'sharps': 3, 'rozena': 1}"
ceil,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
atanf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
atan2f,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
atan2,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
atan,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
asinf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
asin,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
acosf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
modff,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
cos,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
powf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
pow,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
floorf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
log2,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
atanh,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
acosh,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
cosf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
cbrt,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
asinh,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
asinhf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
ilogbf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
atanhf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
cbrtf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
acoshf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
log2f,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
fma,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
fmaf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
fmod,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
cosh,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
coshf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
modf,API-MS-WIN-CRT-MATH-L1-1-0,4,"{'sharps': 3, 'rozena': 1}"
exp,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
expf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
_fdopen,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
floor,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
_copysign,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
_copysignf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
_isnanf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
__setusermatherr,API-MS-WIN-CRT-MATH-L1-1-0,5,"{'sharps': 3, 'cobaltstrike': 1, 'rozena': 1}"
_isnan,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
ceilf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
fmodf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
ilogb,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
frexp,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
log,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
log10,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
log10f,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
logf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
_finite,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
sin,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
sinf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
sinh,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
sinhf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
sqrt,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
sqrtf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
tan,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
tanf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
tanh,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
acos,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
tanhf,API-MS-WIN-CRT-MATH-L1-1-0,3,{'sharps': 3}
_time64,API-MS-WIN-CRT-TIME-L1-1-0,3,{'sharps': 3}
wcsftime,API-MS-WIN-CRT-TIME-L1-1-0,3,{'sharps': 3}
_gmtime64_s,API-MS-WIN-CRT-TIME-L1-1-0,3,{'sharps': 3}
_configthreadlocale,API-MS-WIN-CRT-LOCALE-L1-1-0,4,"{'sharps': 3, 'cobaltstrike': 1}"
_lock_locales,API-MS-WIN-CRT-LOCALE-L1-1-0,3,{'sharps': 3}
setlocale,API-MS-WIN-CRT-LOCALE-L1-1-0,3,{'sharps': 3}
__pctype_func,API-MS-WIN-CRT-LOCALE-L1-1-0,3,{'sharps': 3}
___lc_locale_name_func,API-MS-WIN-CRT-LOCALE-L1-1-0,3,{'sharps': 3}
___lc_codepage_func,API-MS-WIN-CRT-LOCALE-L1-1-0,4,"{'sharps': 3, 'rozena': 1}"
___mb_cur_max_func,API-MS-WIN-CRT-LOCALE-L1-1-0,4,"{'sharps': 3, 'rozena': 1}"
localeconv,API-MS-WIN-CRT-LOCALE-L1-1-0,4,"{'sharps': 3, 'rozena': 1}"
_wrename,API-MS-WIN-CRT-FILESYSTEM-L1-1-0,3,{'sharps': 3}
_wremove,API-MS-WIN-CRT-FILESYSTEM-L1-1-0,3,{'sharps': 3}
_unlock_file,API-MS-WIN-CRT-FILESYSTEM-L1-1-0,3,{'sharps': 3}
_lock_file,API-MS-WIN-CRT-FILESYSTEM-L1-1-0,3,{'sharps': 3}
RoUninitialize,API-MS-WIN-CORE-WINRT-L1-1-0,3,{'sharps': 3}
RoInitialize,API-MS-WIN-CORE-WINRT-L1-1-0,3,{'sharps': 3}
get_accDescription,MFC140U,2,{'cobaltstrike': 2}
get_accRole,MFC140U,2,{'cobaltstrike': 2}
get_accState,MFC140U,2,{'cobaltstrike': 2}
get_accHelp,MFC140U,2,{'cobaltstrike': 2}
get_accHelpTopic,MFC140U,2,{'cobaltstrike': 2}
get_accKeyboardShortcut,MFC140U,2,{'cobaltstrike': 2}
get_accFocus,MFC140U,2,{'cobaltstrike': 2}
get_accSelection,MFC140U,2,{'cobaltstrike': 2}
get_accDefaultAction,MFC140U,2,{'cobaltstrike': 2}
accSelect,MFC140U,2,{'cobaltstrike': 2}
accLocation,MFC140U,2,{'cobaltstrike': 2}
accNavigate,MFC140U,2,{'cobaltstrike': 2}
accHitTest,MFC140U,3,{'cobaltstrike': 3}
accDoDefaultAction,MFC140U,2,{'cobaltstrike': 2}
put_accName,MFC140U,1,{'cobaltstrike': 1}
put_accValue,MFC140U,1,{'cobaltstrike': 1}
SetProxy,MFC140U,1,{'cobaltstrike': 1}
CreateAccessibleProxy,MFC140U,1,{'cobaltstrike': 1}
OnCommand,MFC140U,5,{'cobaltstrike': 5}
OnNotify,MFC140U,1,{'cobaltstrike': 1}
GetSuperWndProcAddr,MFC140U,1,{'cobaltstrike': 1}
PreTranslateMessage,MFC140U,7,{'cobaltstrike': 7}
OnAmbientProperty,MFC140U,1,{'cobaltstrike': 1}
WindowProc,MFC140U,2,{'cobaltstrike': 2}
OnWndMsg,MFC140U,1,{'cobaltstrike': 1}
DefWindowProcW,MFC140U,4,{'cobaltstrike': 4}
PostNcDestroy,MFC140U,3,{'cobaltstrike': 3}
OnChildNotify,MFC140U,3,{'cobaltstrike': 3}
OnTouchInputs,MFC140U,1,{'cobaltstrike': 1}
OnTouchInput,MFC140U,1,{'cobaltstrike': 1}
GetGestureStatus,MFC140U,1,{'cobaltstrike': 1}
OnGestureZoom,MFC140U,1,{'cobaltstrike': 1}
OnGesturePan,MFC140U,1,{'cobaltstrike': 1}
OnGestureRotate,MFC140U,1,{'cobaltstrike': 1}
OnGestureTwoFingerTap,MFC140U,1,{'cobaltstrike': 1}
OnGesturePressAndTap,MFC140U,1,{'cobaltstrike': 1}
ResizeDynamicLayout,MFC140U,1,{'cobaltstrike': 1}
CheckAutoCenter,MFC140U,2,{'cobaltstrike': 2}
IsFrameWnd,MFC140U,2,{'cobaltstrike': 2}
CreateControlContainer,MFC140U,1,{'cobaltstrike': 1}
CreateControlSite,MFC140U,1,{'cobaltstrike': 1}
SetOccDialogInfo,MFC140U,2,{'cobaltstrike': 2}
GetOccDialogInfo,MFC140U,2,{'cobaltstrike': 2}
Create,MFC140U,16,{'cobaltstrike': 16}
CreateIndirect,MFC140U,2,{'cobaltstrike': 2}
OnInitDialog,MFC140U,1,{'cobaltstrike': 1}
OnSetFont,MFC140U,1,{'cobaltstrike': 1}
OnOK,MFC140U,1,{'cobaltstrike': 1}
OnCancel,MFC140U,1,{'cobaltstrike': 1}
PreInitDialog,MFC140U,1,{'cobaltstrike': 1}
GetThisClass,MFC140U,15,{'cobaltstrike': 15}
GetThisMessageMap,MFC140U,9,{'cobaltstrike': 9}
CDocument,MFC140U,1,{'cobaltstrike': 1}
~CDocument,MFC140U,1,{'cobaltstrike': 1}
OnNewDocument,MFC140U,1,{'cobaltstrike': 1}
OnCmdMsg,MFC140U,6,{'cobaltstrike': 6}
OnFinalRelease,MFC140U,3,{'cobaltstrike': 3}
GetInterfaceMap,MFC140U,3,{'cobaltstrike': 3}
Delete,MFC140U,2,{'cobaltstrike': 2}
FindChunk,MFC140U,1,{'cobaltstrike': 1}
RemoveChunk,MFC140U,1,{'cobaltstrike': 1}
ReadNextChunkValue,MFC140U,1,{'cobaltstrike': 1}
SetChunkValue,MFC140U,1,{'cobaltstrike': 1}
ClearChunkList,MFC140U,1,{'cobaltstrike': 1}
GetThumbnail,MFC140U,1,{'cobaltstrike': 1}
BeginReadChunks,MFC140U,1,{'cobaltstrike': 1}
LoadDocumentFromStream,MFC140U,1,{'cobaltstrike': 1}
SetTitle,MFC140U,1,{'cobaltstrike': 1}
SetPathName,MFC140U,1,{'cobaltstrike': 1}
ClearPathName,MFC140U,1,{'cobaltstrike': 1}
GetFirstViewPosition,MFC140U,1,{'cobaltstrike': 1}
GetNextView,MFC140U,1,{'cobaltstrike': 1}
OnChangedViewList,MFC140U,1,{'cobaltstrike': 1}
DeleteContents,MFC140U,1,{'cobaltstrike': 1}
OnOpenDocument,MFC140U,1,{'cobaltstrike': 1}
OnSaveDocument,MFC140U,1,{'cobaltstrike': 1}
OnCloseDocument,MFC140U,1,{'cobaltstrike': 1}
ReportSaveLoadException,MFC140U,1,{'cobaltstrike': 1}
GetFile,MFC140U,1,{'cobaltstrike': 1}
ReleaseFile,MFC140U,1,{'cobaltstrike': 1}
OnRichPreviewUnload,MFC140U,1,{'cobaltstrike': 1}
OnDocumentEvent,MFC140U,1,{'cobaltstrike': 1}
CanCloseFrame,MFC140U,1,{'cobaltstrike': 1}
SaveModified,MFC140U,1,{'cobaltstrike': 1}
PreCloseFrame,MFC140U,1,{'cobaltstrike': 1}
DoSave,MFC140U,1,{'cobaltstrike': 1}
DoFileSave,MFC140U,1,{'cobaltstrike': 1}
UpdateFrameCounts,MFC140U,1,{'cobaltstrike': 1}
GetDefaultMenu,MFC140U,1,{'cobaltstrike': 1}
GetDefaultAccelerator,MFC140U,2,{'cobaltstrike': 2}
OnIdle,MFC140U,2,{'cobaltstrike': 2}
OnLoadDocumentFromStream,MFC140U,1,{'cobaltstrike': 1}
OnPreviewHandlerQueryFocus,MFC140U,1,{'cobaltstrike': 1}
OnPreviewHandlerTranslateAccelerator,MFC140U,1,{'cobaltstrike': 1}
OnCreatePreviewFrame,MFC140U,1,{'cobaltstrike': 1}
OnUnloadHandler,MFC140U,1,{'cobaltstrike': 1}
OnDrawThumbnail,MFC140U,1,{'cobaltstrike': 1}
OnFilePrint,MFC140U,1,{'cobaltstrike': 1}
CView,MFC140U,1,{'cobaltstrike': 1}
~CView,MFC140U,1,{'cobaltstrike': 1}
PreCreateWindow,MFC140U,4,{'cobaltstrike': 4}
AFXPrintPreview,MFC140U,1,{'cobaltstrike': 1}
DoPreparePrinting,MFC140U,1,{'cobaltstrike': 1}
CalcWindowRect,MFC140U,2,{'cobaltstrike': 2}
GetScrollBarCtrl,MFC140U,2,{'cobaltstrike': 2}
IsSelected,MFC140U,1,{'cobaltstrike': 1}
OnScroll,MFC140U,1,{'cobaltstrike': 1}
OnScrollBy,MFC140U,1,{'cobaltstrike': 1}
OnDragEnter,MFC140U,2,{'cobaltstrike': 2}
OnDragOver,MFC140U,2,{'cobaltstrike': 2}
OnDragLeave,MFC140U,2,{'cobaltstrike': 2}
OnDrop,MFC140U,2,{'cobaltstrike': 2}
OnDropEx,MFC140U,1,{'cobaltstrike': 1}
OnDragScroll,MFC140U,1,{'cobaltstrike': 1}
OnPrepareDC,MFC140U,1,{'cobaltstrike': 1}
OnInitialUpdate,MFC140U,1,{'cobaltstrike': 1}
OnActivateView,MFC140U,1,{'cobaltstrike': 1}
OnActivateFrame,MFC140U,1,{'cobaltstrike': 1}
OnUpdate,MFC140U,1,{'cobaltstrike': 1}
OnPrint,MFC140U,1,{'cobaltstrike': 1}
OnEndPrintPreview,MFC140U,1,{'cobaltstrike': 1}
CMDIChildWndEx,MFC140U,1,{'cobaltstrike': 1}
~CMDIChildWndEx,MFC140U,1,{'cobaltstrike': 1}
CSplitterWnd,MFC140U,1,{'cobaltstrike': 1}
~CSplitterWnd,MFC140U,1,{'cobaltstrike': 1}
DestroyWindow,MFC140U,7,"{'nolabel': 1, 'cobaltstrike': 3, 'rozena': 1, 'dealply': 1, 'malheur': 1}"
SetMenu,MFC140U,3,{'cobaltstrike': 3}
BeginModalState,MFC140U,1,{'cobaltstrike': 1}
EndModalState,MFC140U,1,{'cobaltstrike': 1}
LoadFrame,MFC140U,2,{'cobaltstrike': 2}
GetActiveDocument,MFC140U,1,{'cobaltstrike': 1}
GetActiveFrame,MFC140U,2,{'cobaltstrike': 2}
GetMessageString,MFC140U,1,{'cobaltstrike': 1}
RecalcLayout,MFC140U,3,{'cobaltstrike': 3}
