Function,DLL,Occurence,Family,Associated
_CorExeMain,MSCOREE,1,{'msilzilla': 1}
WideCharToMultiByte,KERNEL32,13,"{'nolabel': 2, 'sharps': 3, 'rozena': 3, 'dealply': 2, 'malheur': 1, 'registrystorage': 1, 'cobaltstrike': 1}"
GetConsoleOutputCP,KERNEL32,5,"{'nolabel': 1, 'sharps': 3, 'cobaltstrike': 1}"
MapViewOfFileEx,KERNEL32,3,{'sharps': 3},Injection
UnmapViewOfFile,KERNEL32,6,"{'nolabel': 2, 'sharps': 3, 'rozena': 1}",Helper
GetStringTypeExW,KERNEL32,3,{'sharps': 3}
SetEvent,KERNEL32,12,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 2, 'dealply': 1, 'malheur': 1, 'shelma': 1}"
GetCurrentProcessorNumber,KERNEL32,3,{'sharps': 3}
GlobalMemoryStatusEx,KERNEL32,5,"{'nolabel': 1, 'sharps': 3, 'convagent': 1}"
CreateIoCompletionPort,KERNEL32,4,"{'sharps': 3, 'shelma': 1}"
PostQueuedCompletionStatus,KERNEL32,4,"{'sharps': 3, 'shelma': 1}"
SleepEx,KERNEL32,3,{'sharps': 3},Anti-Debugging
GetQueuedCompletionStatus,KERNEL32,3,{'sharps': 3}
InterlockedPopEntrySList,KERNEL32,3,{'sharps': 3}
GetCurrentProcessorNumberEx,KERNEL32,3,{'sharps': 3}
ExitProcess,KERNEL32,12,"{'nolabel': 2, 'sharps': 3, 'rozena': 1, 'dealply': 1, 'shelma': 2, 'malheur': 1, 'registrystorage': 1, 'cobaltstrike': 1}"
CreateMemoryResourceNotification,KERNEL32,3,{'sharps': 3}
GetProcessAffinityMask,KERNEL32,5,"{'nolabel': 1, 'sharps': 3, 'shelma': 1}"
SetThreadIdealProcessorEx,KERNEL32,3,{'sharps': 3}
GetThreadIdealProcessorEx,KERNEL32,3,{'sharps': 3}
GetLargePageMinimum,KERNEL32,3,{'sharps': 3}
VirtualUnlock,KERNEL32,3,{'sharps': 3}
GetLogicalProcessorInformation,KERNEL32,4,"{'sharps': 3, 'malheur': 1}",Anti-Debugging
SetThreadGroupAffinity,KERNEL32,3,{'sharps': 3}
SetThreadAffinityMask,KERNEL32,3,{'sharps': 3}
IsProcessInJob,KERNEL32,3,{'sharps': 3}
QueryInformationJobObject,KERNEL32,3,{'sharps': 3}
K32GetProcessMemoryInfo,KERNEL32,3,{'sharps': 3}
VirtualAlloc,KERNEL32,14,"{'nolabel': 2, 'sharps': 3, 'rozena': 3, 'dealply': 2, 'shelma': 2, 'malheur': 1, 'cobaltstrike': 1}",Injection
VirtualFree,KERNEL32,13,"{'nolabel': 2, 'sharps': 3, 'rozena': 3, 'dealply': 2, 'shelma': 2, 'malheur': 1}"
VirtualProtect,KERNEL32,12,"{'nolabel': 2, 'sharps': 3, 'rozena': 2, 'dealply': 1, 'shelma': 1, 'malheur': 1, 'cobaltstrike': 1, 'convagent': 1}",Injection
SwitchToThread,KERNEL32,5,"{'sharps': 3, 'malheur': 1, 'shelma': 1}"
CloseThreadpoolTimer,KERNEL32,3,{'sharps': 3}
CreateThreadpoolTimer,KERNEL32,3,{'sharps': 3}
SetThreadpoolTimer,KERNEL32,3,{'sharps': 3}
GetFileSize,KERNEL32,9,"{'nolabel': 2, 'sharps': 3, 'rozena': 1, 'dealply': 1, 'malheur': 1, 'cobaltstrike': 1}"
GetEnvironmentVariableW,KERNEL32,6,"{'sharps': 3, 'rozena': 1, 'dealply': 1, 'malheur': 1}"
SetEnvironmentVariableW,KERNEL32,4,"{'sharps': 3, 'cobaltstrike': 1}"
CreateEventW,KERNEL32,8,"{'sharps': 3, 'cobaltstrike': 2, 'rozena': 1, 'dealply': 1, 'malheur': 1}"
ResetEvent,KERNEL32,9,"{'nolabel': 1, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 1, 'dealply': 1, 'malheur': 1}"
CreateSemaphoreExW,KERNEL32,3,{'sharps': 3}
ReleaseSemaphore,KERNEL32,4,"{'sharps': 3, 'rozena': 1}"
CreateMutexW,KERNEL32,3,{'sharps': 3}
ReleaseMutex,KERNEL32,5,"{'nolabel': 1, 'sharps': 3, 'rozena': 1}"
GetThreadContext,KERNEL32,6,"{'nolabel': 2, 'sharps': 3, 'shelma': 1}",Injection
SuspendThread,KERNEL32,6,"{'nolabel': 1, 'sharps': 3, 'malheur': 1, 'shelma': 1}",Injection
SetThreadContext,KERNEL32,5,"{'nolabel': 1, 'sharps': 3, 'shelma': 1}",Injection
GetEnabledXStateFeatures,KERNEL32,3,{'sharps': 3}
InitializeContext,KERNEL32,3,{'sharps': 3}
SetXStateFeaturesMask,KERNEL32,3,{'sharps': 3}
RtlInstallFunctionTableCallback,KERNEL32,3,{'sharps': 3}
GetSystemDefaultLCID,KERNEL32,3,{'sharps': 3}
GetUserDefaultLCID,KERNEL32,4,"{'nolabel': 1, 'sharps': 3}"
RtlUnwind,KERNEL32,10,"{'nolabel': 2, 'sharps': 3, 'rozena': 1, 'dealply': 1, 'malheur': 1, 'registrystorage': 1, 'cobaltstrike': 1}"
LoadLibraryExW,KERNEL32,8,"{'nolabel': 1, 'sharps': 3, 'rozena': 1, 'dealply': 1, 'malheur': 1, 'cobaltstrike': 1}"
HeapCreate,KERNEL32,9,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 2, 'malheur': 1, 'registrystorage': 1}",Injection
HeapDestroy,KERNEL32,6,"{'nolabel': 2, 'sharps': 3, 'malheur': 1}"
GetEnvironmentStringsW,KERNEL32,9,"{'nolabel': 2, 'sharps': 3, 'rozena': 1, 'shelma': 1, 'registrystorage': 1, 'cobaltstrike': 1}"
FreeEnvironmentStringsW,KERNEL32,9,"{'nolabel': 2, 'sharps': 3, 'rozena': 1, 'shelma': 1, 'registrystorage': 1, 'cobaltstrike': 1}"
FormatMessageW,KERNEL32,7,"{'sharps': 3, 'rozena': 1, 'dealply': 1, 'malheur': 1, 'cobaltstrike': 1}"
