Function,DLL,Occurence,Family,Associated
DrawTextA,USER32,1,"{""cobaltstrike"": 1}",
GrayStringA,USER32,1,"{""cobaltstrike"": 1}",
CreateDialogIndirectParamA,USER32,1,"{""cobaltstrike"": 1}",
GetNextDlgTabItem,USER32,1,"{""cobaltstrike"": 1}",
GetWindowPlacement,USER32,2,"{""cobaltstrike"": 2}",
RegisterWindowMessageA,USER32,1,"{""cobaltstrike"": 1}",
GetForegroundWindow,USER32,1,"{""cobaltstrike"": 1}",Anti-Debugging
GetLastActivePopup,USER32,1,"{""cobaltstrike"": 1}",
GetMessageTime,USER32,2,"{""cobaltstrike"": 2}",
RemovePropA,USER32,1,"{""cobaltstrike"": 1}",
CallWindowProcA,USER32,1,"{""cobaltstrike"": 1}",Helper
GetPropA,USER32,1,"{""cobaltstrike"": 1}",
UnhookWindowsHookEx,USER32,1,"{""cobaltstrike"": 1}",Spying
SetPropA,USER32,1,"{""cobaltstrike"": 1}",Injection
GetClassLongA,USER32,1,"{""cobaltstrike"": 1}",
CallNextHookEx,USER32,1,"{""cobaltstrike"": 1}",Spying
SetWindowsHookExA,USER32,1,"{""cobaltstrike"": 1}",Spying
CreateWindowExA,USER32,1,"{""cobaltstrike"": 1}",Evasion
GetMenuItemID,USER32,1,"{""cobaltstrike"": 1}",
GetMenuItemCount,USER32,1,"{""cobaltstrike"": 1}",
RegisterClassA,USER32,1,"{""cobaltstrike"": 1}",
GetScrollPos,USER32,1,"{""cobaltstrike"": 1}",
SendDlgItemMessageA,USER32,1,"{""cobaltstrike"": 1}",
ScrollWindowEx,USER32,1,"{""cobaltstrike"": 1}",
IsDialogMessageA,USER32,1,"{""cobaltstrike"": 1}",
SetWindowTextA,USER32,1,"{""cobaltstrike"": 1}",
CheckMenuItem,USER32,1,"{""cobaltstrike"": 1}",
SetMenuItemBitmaps,USER32,1,"{""cobaltstrike"": 1}",
GetMenuState,USER32,1,"{""cobaltstrike"": 1}",
GetMenuCheckMarkDimensions,USER32,1,"{""cobaltstrike"": 1}",
GetClassNameA,USER32,1,"{""cobaltstrike"": 1}",
GetDesktopWindow,USER32,1,"{""cobaltstrike"": 1}",Helper
LoadStringA,USER32,1,"{""cobaltstrike"": 1}",
GetSysColorBrush,USER32,1,"{""cobaltstrike"": 1}",
EmptyClipboard,USER32,2,"{""cobaltstrike"": 2}",
SetClipboardData,USER32,2,"{""cobaltstrike"": 2}",Helper
OpenClipboard,USER32,2,"{""cobaltstrike"": 2}",Helper
GetClipboardData,USER32,2,"{""cobaltstrike"": 2}",Spying
CloseClipboard,USER32,2,"{""cobaltstrike"": 2}",
wsprintfA,USER32,1,"{""cobaltstrike"": 1}",
RedrawWindow,USER32,1,"{""cobaltstrike"": 1}",
GetTextMetricsA,GDI32,1,"{""cobaltstrike"": 1}",
ExtTextOutA,GDI32,1,"{""cobaltstrike"": 1}",
TextOutA,GDI32,1,"{""cobaltstrike"": 1}",
RectVisible,GDI32,1,"{""cobaltstrike"": 1}",
PtVisible,GDI32,1,"{""cobaltstrike"": 1}",
GetViewportExtEx,GDI32,1,"{""cobaltstrike"": 1}",
Escape,GDI32,1,"{""cobaltstrike"": 1}",
ExtSelectClipRgn,GDI32,1,"{""cobaltstrike"": 1}",
CreateRectRgnIndirect,GDI32,1,"{""cobaltstrike"": 1}",
SetStretchBltMode,GDI32,1,"{""cobaltstrike"": 1}",
CreatePolygonRgn,GDI32,1,"{""cobaltstrike"": 1}",
CreateDIBitmap,GDI32,1,"{""cobaltstrike"": 1}",
GetSystemPaletteEntries,GDI32,1,"{""cobaltstrike"": 1}",
CreatePalette,GDI32,1,"{""cobaltstrike"": 1}",
GetWindowExtEx,GDI32,1,"{""cobaltstrike"": 1}",
GetViewportOrgEx,GDI32,1,"{""cobaltstrike"": 1}",
GetWindowOrgEx,GDI32,1,"{""cobaltstrike"": 1}",
BeginPath,GDI32,1,"{""cobaltstrike"": 1}",
EndPath,GDI32,1,"{""cobaltstrike"": 1}",
PathToRegion,GDI32,1,"{""cobaltstrike"": 1}",
CreateEllipticRgn,GDI32,1,"{""cobaltstrike"": 1}",
CreateRoundRectRgn,GDI32,1,"{""cobaltstrike"": 1}",
GetTextColor,GDI32,1,"{""cobaltstrike"": 1}",
GetBkColor,GDI32,1,"{""cobaltstrike"": 1}",
GetStretchBltMode,GDI32,1,"{""cobaltstrike"": 1}",
CreateDCA,GDI32,1,"{""cobaltstrike"": 1}",
GetObjectA,GDI32,1,"{""cobaltstrike"": 1}",
PatBlt,GDI32,1,"{""cobaltstrike"": 1}",
CombineRgn,GDI32,1,"{""cobaltstrike"": 1}",
ScaleViewportExtEx,GDI32,1,"{""cobaltstrike"": 1}",
SetViewportExtEx,GDI32,1,"{""cobaltstrike"": 1}",
OffsetViewportOrgEx,GDI32,1,"{""cobaltstrike"": 1}",
SetViewportOrgEx,GDI32,1,"{""cobaltstrike"": 1}",
SetMapMode,GDI32,1,"{""cobaltstrike"": 1}",
RestoreDC,GDI32,1,"{""cobaltstrike"": 1}",
SaveDC,GDI32,1,"{""cobaltstrike"": 1}",
CreateFontIndirectA,GDI32,1,"{""cobaltstrike"": 1}",
EndPage,GDI32,1,"{""cobaltstrike"": 1}",
EndDoc,GDI32,1,"{""cobaltstrike"": 1}",
StartDocA,GDI32,1,"{""cobaltstrike"": 1}",
StartPage,GDI32,1,"{""cobaltstrike"": 1}",
LPtoDP,GDI32,1,"{""cobaltstrike"": 1}",
DPtoLP,GDI32,1,"{""cobaltstrike"": 1}",
GetTextExtentPoint32A,GDI32,1,"{""cobaltstrike"": 1}",
ExcludeClipRect,GDI32,1,"{""cobaltstrike"": 1}",
GetClipBox,GDI32,1,"{""cobaltstrike"": 1}",
ScaleWindowExtEx,GDI32,1,"{""cobaltstrike"": 1}",
SetWindowExtEx,GDI32,1,"{""cobaltstrike"": 1}",
SetWindowOrgEx,GDI32,1,"{""cobaltstrike"": 1}",
waveOutUnprepareHeader,WINMM,1,"{""cobaltstrike"": 1}",
waveOutPrepareHeader,WINMM,1,"{""cobaltstrike"": 1}",
waveOutWrite,WINMM,1,"{""cobaltstrike"": 1}",
waveOutPause,WINMM,1,"{""cobaltstrike"": 1}",
waveOutReset,WINMM,1,"{""cobaltstrike"": 1}",
waveOutClose,WINMM,1,"{""cobaltstrike"": 1}",
waveOutGetNumDevs,WINMM,1,"{""cobaltstrike"": 1}",
waveOutOpen,WINMM,1,"{""cobaltstrike"": 1}",
midiOutUnprepareHeader,WINMM,1,"{""cobaltstrike"": 1}",
midiStreamOpen,WINMM,1,"{""cobaltstrike"": 1}",
midiStreamProperty,WINMM,1,"{""cobaltstrike"": 1}",
midiOutPrepareHeader,WINMM,1,"{""cobaltstrike"": 1}",
midiStreamOut,WINMM,1,"{""cobaltstrike"": 1}",
waveOutRestart,WINMM,1,"{""cobaltstrike"": 1}",
midiStreamStop,WINMM,1,"{""cobaltstrike"": 1}",
midiOutReset,WINMM,1,"{""cobaltstrike"": 1}",
midiStreamClose,WINMM,1,"{""cobaltstrike"": 1}",
midiStreamRestart,WINMM,1,"{""cobaltstrike"": 1}",
OpenPrinterA,WINSPOOL,1,"{""cobaltstrike"": 1}",
DocumentPropertiesA,WINSPOOL,1,"{""cobaltstrike"": 1}",
ClosePrinter,WINSPOOL,1,"{""cobaltstrike"": 1}",
RegSetValueExA,ADVAPI32,2,"{""cobaltstrike"": 1, ""jobutyve"": 1}",Helper
RegOpenKeyExA,ADVAPI32,2,"{""cobaltstrike"": 1, ""jobutyve"": 1}",Helper
RegCreateKeyA,ADVAPI32,1,"{""cobaltstrike"": 1}",Helper
RegQueryValueA,ADVAPI32,1,"{""cobaltstrike"": 1}",
RegCreateKeyExA,ADVAPI32,2,"{""cobaltstrike"": 1, ""jobutyve"": 1}",Helper
ShellExecuteA,SHELL32,1,"{""cobaltstrike"": 1}",Internet
Shell_NotifyIconA,SHELL32,1,"{""cobaltstrike"": 1}",
Ordinal_186,OLEAUT32,1,"{""cobaltstrike"": 1}",
Ordinal_163,OLEAUT32,1,"{""cobaltstrike"": 1}",
Ordinal_161,OLEAUT32,1,"{""cobaltstrike"": 1}",
ImageList_Destroy,COMCTL32,1,"{""cobaltstrike"": 1}",
Ordinal_17,COMCTL32,1,"{""cobaltstrike"": 1}",
Ordinal_116,WS2_32,1,"{""cobaltstrike"": 1}",
Ordinal_14,WS2_32,1,"{""cobaltstrike"": 1}",
ChooseColorA,COMDLG32,1,"{""cobaltstrike"": 1}",
GetOpenFileNameA,COMDLG32,1,"{""cobaltstrike"": 1}",
GetSaveFileNameA,COMDLG32,1,"{""cobaltstrike"": 1}",
GetFileTitleA,COMDLG32,1,"{""cobaltstrike"": 1}",
EnumSystemLocalesA,KERNEL32,1,"{""cobaltstrike"": 1}",Ransomware
__stdio_common_vfprintf,API-MS-WIN-CRT-STDIO-L1-1-0,3,"{""cobaltstrike"": 3}",
__acrt_iob_func,API-MS-WIN-CRT-STDIO-L1-1-0,3,"{""cobaltstrike"": 3}",
GetUserObjectInformationW,USER32,1,"{""cobaltstrike"": 1}",
Ordinal_3,WS2_32,1,"{""cobaltstrike"": 1}",
Ordinal_112,WS2_32,1,"{""cobaltstrike"": 1}",
Ordinal_111,WS2_32,1,"{""cobaltstrike"": 1}",
ReportEventW,ADVAPI32,1,"{""cobaltstrike"": 1}",
RegisterEventSourceW,ADVAPI32,1,"{""cobaltstrike"": 1}",
DeregisterEventSource,ADVAPI32,1,"{""cobaltstrike"": 1}",
ConvertFiberToThread,KERNEL32,1,"{""cobaltstrike"": 1}",
ReadConsoleA,KERNEL32,1,"{""cobaltstrike"": 1}",
SetConsoleMode,KERNEL32,2,"{""cobaltstrike"": 1, ""shellcoderunner"": 1}",
DeleteFiber,KERNEL32,1,"{""cobaltstrike"": 1}",
memchr,VCRUNTIME140,1,"{""cobaltstrike"": 1}",
strchr,VCRUNTIME140,1,"{""cobaltstrike"": 1}",
wcsstr,VCRUNTIME140,1,"{""cobaltstrike"": 1}",
strstr,VCRUNTIME140,2,"{""cobaltstrike"": 2}",
strncpy,API-MS-WIN-CRT-STRING-L1-1-0,2,"{""cobaltstrike"": 2}",
_stricmp,API-MS-WIN-CRT-STRING-L1-1-0,1,"{""cobaltstrike"": 1}",
_strnicmp,API-MS-WIN-CRT-STRING-L1-1-0,1,"{""cobaltstrike"": 1}",
strcspn,API-MS-WIN-CRT-STRING-L1-1-0,2,"{""cobaltstrike"": 2}",
strspn,API-MS-WIN-CRT-STRING-L1-1-0,2,"{""cobaltstrike"": 2}",
strcmp,API-MS-WIN-CRT-STRING-L1-1-0,2,"{""cobaltstrike"": 2}",
_stat64i32,API-MS-WIN-CRT-FILESYSTEM-L1-1-0,1,"{""cobaltstrike"": 1}",
strerror_s,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,"{""cobaltstrike"": 1}",
raise,API-MS-WIN-CRT-RUNTIME-L1-1-0,2,"{""cobaltstrike"": 2}",
_gmtime64_s,API-MS-WIN-CRT-TIME-L1-1-0,1,"{""cobaltstrike"": 1}",
__stdio_common_vsscanf,API-MS-WIN-CRT-STDIO-L1-1-0,1,"{""cobaltstrike"": 1}",
_wfopen,API-MS-WIN-CRT-STDIO-L1-1-0,1,"{""cobaltstrike"": 1}",
__stdio_common_vsprintf,API-MS-WIN-CRT-STDIO-L1-1-0,1,"{""cobaltstrike"": 1}",
fclose,API-MS-WIN-CRT-STDIO-L1-1-0,1,"{""cobaltstrike"": 1}",
feof,API-MS-WIN-CRT-STDIO-L1-1-0,1,"{""cobaltstrike"": 1}",
ferror,API-MS-WIN-CRT-STDIO-L1-1-0,1,"{""cobaltstrike"": 1}",
fflush,API-MS-WIN-CRT-STDIO-L1-1-0,1,"{""cobaltstrike"": 1}",
fgets,API-MS-WIN-CRT-STDIO-L1-1-0,1,"{""cobaltstrike"": 1}",
_fileno,API-MS-WIN-CRT-STDIO-L1-1-0,1,"{""cobaltstrike"": 1}",
fread,API-MS-WIN-CRT-STDIO-L1-1-0,1,"{""cobaltstrike"": 1}",
fseek,API-MS-WIN-CRT-STDIO-L1-1-0,1,"{""cobaltstrike"": 1}",
ftell,API-MS-WIN-CRT-STDIO-L1-1-0,1,"{""cobaltstrike"": 1}",
_setmode,API-MS-WIN-CRT-STDIO-L1-1-0,1,"{""cobaltstrike"": 1}",
fputs,API-MS-WIN-CRT-STDIO-L1-1-0,1,"{""cobaltstrike"": 1}",
fopen,API-MS-WIN-CRT-STDIO-L1-1-0,1,"{""cobaltstrike"": 1}",
__stdio_common_vswprintf,API-MS-WIN-CRT-STDIO-L1-1-0,1,"{""cobaltstrike"": 1}",
qsort,API-MS-WIN-CRT-UTILITY-L1-1-0,2,"{""cobaltstrike"": 2}",
getenv,API-MS-WIN-CRT-ENVIRONMENT-L1-1-0,1,"{""cobaltstrike"": 1}",
EnumDisplayMonitors,USER32,2,"{""cobaltstrike"": 2}",
_Xlength_error,MSVCP140,1,"{""cobaltstrike"": 1}",
__std_exception_copy,VCRUNTIME140,1,"{""cobaltstrike"": 1}",
__std_exception_destroy,VCRUNTIME140,1,"{""cobaltstrike"": 1}",
__stdio_common_vsprintf_s,API-MS-WIN-CRT-STDIO-L1-1-0,1,"{""cobaltstrike"": 1}",
_invalid_parameter_noinfo_noreturn,API-MS-WIN-CRT-RUNTIME-L1-1-0,1,"{""cobaltstrike"": 1}",
ChoosePixelFormat,GDI32,1,"{""cobaltstrike"": 1}",
CreateDCW,GDI32,1,"{""cobaltstrike"": 1}",
DescribePixelFormat,GDI32,1,"{""cobaltstrike"": 1}",
GetDeviceGammaRamp,GDI32,1,"{""cobaltstrike"": 1}",
SetDeviceGammaRamp,GDI32,1,"{""cobaltstrike"": 1}",
SetPixelFormat,GDI32,1,"{""cobaltstrike"": 1}",
SwapBuffers,GDI32,1,"{""cobaltstrike"": 1}",
_snwprintf,MSVCRT,1,"{""cobaltstrike"": 1}",
_vsnprintf,MSVCRT,1,"{""cobaltstrike"": 1}",
fwprintf,MSVCRT,1,"{""cobaltstrike"": 1}",
sscanf,MSVCRT,1,"{""cobaltstrike"": 1}",
strcpy,MSVCRT,1,"{""cobaltstrike"": 1}",
strtok,MSVCRT,1,"{""cobaltstrike"": 1}",
wcscmp,MSVCRT,1,"{""cobaltstrike"": 1}",
wcscpy,MSVCRT,1,"{""cobaltstrike"": 1}",
wglGetProcAddress,OPENGL32,1,"{""cobaltstrike"": 1}",
DragAcceptFiles,SHELL32,1,"{""cobaltstrike"": 1}",
DragFinish,SHELL32,1,"{""cobaltstrike"": 1}",
DragQueryFileW,SHELL32,1,"{""cobaltstrike"": 1}",
DragQueryPoint,SHELL32,1,"{""cobaltstrike"": 1}",
BringWindowToTop,USER32,1,"{""cobaltstrike"": 1}",Helper
ChangeDisplaySettingsExW,USER32,1,"{""cobaltstrike"": 1}",
ClipCursor,USER32,1,"{""cobaltstrike"": 1}",
CreateIconIndirect,USER32,1,"{""cobaltstrike"": 1}",
EnumDisplayDevicesW,USER32,1,"{""cobaltstrike"": 1}",
EnumDisplaySettingsExW,USER32,1,"{""cobaltstrike"": 1}",
EnumDisplaySettingsW,USER32,1,"{""cobaltstrike"": 1}",
FlashWindow,USER32,1,"{""cobaltstrike"": 1}",
GetClassLongPtrW,USER32,1,"{""cobaltstrike"": 1}",
GetLayeredWindowAttributes,USER32,1,"{""cobaltstrike"": 1}",
GetMonitorInfoW,USER32,1,"{""cobaltstrike"": 1}",
GetPropW,USER32,1,"{""cobaltstrike"": 1}",
GetRawInputData,USER32,1,"{""cobaltstrike"": 1}",Spying
GetRawInputDeviceInfoA,USER32,1,"{""cobaltstrike"": 1}",
GetRawInputDeviceList,USER32,1,"{""cobaltstrike"": 1}",
LoadImageW,USER32,1,"{""cobaltstrike"": 1}",
MapVirtualKeyW,USER32,1,"{""cobaltstrike"": 1}",
MonitorFromWindow,USER32,1,"{""cobaltstrike"": 1}",
RegisterDeviceNotificationW,USER32,1,"{""cobaltstrike"": 1}",
RegisterRawInputDevices,USER32,1,"{""cobaltstrike"": 1}",Spying
RemovePropW,USER32,1,"{""cobaltstrike"": 1}",
SetLayeredWindowAttributes,USER32,1,"{""cobaltstrike"": 1}",
SetPropW,USER32,1,"{""cobaltstrike"": 1}",
SetWindowPlacement,USER32,1,"{""cobaltstrike"": 1}",
ToUnicode,USER32,1,"{""cobaltstrike"": 1}",
TrackMouseEvent,USER32,1,"{""cobaltstrike"": 1}",
UnregisterDeviceNotification,USER32,1,"{""cobaltstrike"": 1}",
WaitMessage,USER32,1,"{""cobaltstrike"": 1}",
CharNextA,USER32,1,"{""jobutyve"": 1}",
CoTaskMemAlloc,OLE32,1,"{""jobutyve"": 1}",
CoTaskMemFree,OLE32,1,"{""jobutyve"": 1}",
CoTaskMemRealloc,OLE32,1,"{""jobutyve"": 1}",
Ordinal_277,OLEAUT32,1,"{""jobutyve"": 1}",
RegDeleteKeyA,ADVAPI32,1,"{""jobutyve"": 1}",Helper
RegDeleteValueA,ADVAPI32,1,"{""jobutyve"": 1}",Helper
RegEnumKeyExA,ADVAPI32,1,"{""jobutyve"": 1}",Helper
RegQueryInfoKeyW,ADVAPI32,1,"{""jobutyve"": 1}",
GetNumberOfConsoleInputEvents,KERNEL32,1,"{""shellcoderunner"": 1}",
PeekConsoleInputA,KERNEL32,1,"{""shellcoderunner"": 1}",
ReadConsoleInputW,KERNEL32,1,"{""shellcoderunner"": 1}",
RtlIpv4StringToAddressA,NTDLL,1,"{""shellcoderunner"": 1}",
__p__acmdln,MSVCRT,1,"{""cobaltstrike"": 1}",
__p__fmode,MSVCRT,1,"{""cobaltstrike"": 1}",
