Function,DLL,Occurence,Family,Associated
CreateCompatibleDC,GDI32,3,"{""cobaltstrike"": 2, ""shlem"": 1}",
ExtractIconW,SHELL32,1,"{""cobaltstrike"": 1}",
SetFileTime,KERNEL32,1,"{""shlem"": 1}",Evasion
CreateHardLinkW,KERNEL32,1,"{""shlem"": 1}",
GetShortPathNameW,KERNEL32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
GetLongPathNameW,KERNEL32,1,"{""shlem"": 1}",
MoveFileW,KERNEL32,1,"{""shlem"": 1}",
SetFileAttributesW,KERNEL32,1,"{""shlem"": 1}",
InterlockedDecrement,KERNEL32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
FoldStringW,KERNEL32,1,"{""shlem"": 1}",
SetThreadExecutionState,KERNEL32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
AttachConsole,KERNEL32,1,"{""shlem"": 1}",
ReleaseSemaphore,KERNEL32,3,"{""shlem"": 1, ""rozena"": 1, ""cobaltstrike"": 1}",
CreateSemaphoreW,KERNEL32,1,"{""shlem"": 1}",
GetSystemTime,KERNEL32,3,"{""shlem"": 1, ""cobaltstrike"": 2}",Anti-Debugging
TzSpecificLocalTimeToSystemTime,KERNEL32,1,"{""shlem"": 1}",
SystemTimeToFileTime,KERNEL32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
FileTimeToLocalFileTime,KERNEL32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
LocalFileTimeToFileTime,KERNEL32,1,"{""shlem"": 1}",
IsDBCSLeadByte,KERNEL32,2,"{""shlem"": 1, ""jobutyve"": 1}",
GlobalLock,KERNEL32,3,"{""shlem"": 1, ""cobaltstrike"": 2}",
GlobalUnlock,KERNEL32,3,"{""shlem"": 1, ""cobaltstrike"": 2}",
SetCurrentDirectoryW,KERNEL32,1,"{""shlem"": 1}",
CreateFileMappingW,KERNEL32,1,"{""shlem"": 1}",
OpenFileMappingW,KERNEL32,1,"{""shlem"": 1}",
GetTimeFormatW,KERNEL32,1,"{""shlem"": 1}",
GetNumberFormatW,KERNEL32,1,"{""shlem"": 1}",
LoadLibraryExA,KERNEL32,2,"{""shlem"": 1, ""jobutyve"": 1}",Evasion
GdipAlloc,GDIPLUS,1,"{""shlem"": 1}",
GdipDisposeImage,GDIPLUS,1,"{""shlem"": 1}",
GdipCloneImage,GDIPLUS,1,"{""shlem"": 1}",
GdipCreateBitmapFromStream,GDIPLUS,1,"{""shlem"": 1}",
GdipCreateBitmapFromStreamICM,GDIPLUS,1,"{""shlem"": 1}",
GdipCreateHBITMAPFromBitmap,GDIPLUS,1,"{""shlem"": 1}",
GdiplusStartup,GDIPLUS,1,"{""shlem"": 1}",
GdiplusShutdown,GDIPLUS,1,"{""shlem"": 1}",
GdipFree,GDIPLUS,1,"{""shlem"": 1}",
WaitForInputIdle,USER32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
DialogBoxParamW,USER32,1,"{""shlem"": 1}",
GetDlgItemTextW,USER32,1,"{""shlem"": 1}",
SetFocus,USER32,3,"{""shlem"": 1, ""cobaltstrike"": 2}",Helper
SetForegroundWindow,USER32,3,"{""shlem"": 1, ""cobaltstrike"": 2}",Helper
GetSysColor,USER32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
LoadBitmapW,USER32,1,"{""shlem"": 1}",
LoadIconW,USER32,1,"{""shlem"": 1}",
IsDialogMessageW,USER32,1,"{""shlem"": 1}",
wvsprintfW,USER32,1,"{""shlem"": 1}",
CopyImage,USER32,1,"{""shlem"": 1}",
GetClassNameW,USER32,1,"{""shlem"": 1}",
FindWindowExW,USER32,1,"{""shlem"": 1}",
CopyRect,USER32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
MapWindowPoints,USER32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
UpdateWindow,USER32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
IsWindow,USER32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
OemToCharBuffA,USER32,1,"{""shlem"": 1}",
GetWindow,USER32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
SetProcessDefaultLayout,USER32,1,"{""shlem"": 1}",
SetWindowLongW,USER32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
GetWindowLongW,USER32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
SetDlgItemTextW,USER32,1,"{""shlem"": 1}",
GetParent,USER32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
SetWindowTextW,USER32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
EnableWindow,USER32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
GetDlgItem,USER32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
SendDlgItemMessageW,USER32,1,"{""shlem"": 1}",
GetDeviceCaps,GDI32,3,"{""shlem"": 1, ""cobaltstrike"": 2}",
